id,website,category,asin,title,price,brand,series,storage,special_feature,compatible_devices,type,link
1,Amazon,monitor,‎B08GTYFC37,"SanDisk 1TB Extreme Portable SSD - Up to 1050MB/s, USB-C, USB 3.2 Gen 2, IP65 Water and Dust Resistance, Updated Firmware - External Solid State Drive - SDSSDE61-1T00-G25",96.79,SanDisk,‎SanDisk Extreme Portable SSD,1 TB,"Water-resistant,dust-resistant,Portable","Laptop, Desktop, Tablet",,https://www.amazon.com/SanDisk-1TB-Extreme-Portable-SDSSDE61-1T00-G25/dp/B08GTYFC37/ref=sr_1_2?dib=eyJ2IjoiMSJ9.OtIs0-TwzvdNcHT81vPKhwxdOCL6-fNfsuDnla_0btcElL5PDLE7UOBLol3kzEdUXgdBSwQBsCeo9bqBA_rIyQq7zDG17W56Cj7j8LzMVBmGDqEFL41CsHgFGtlZ6hfzW3Gc7mQFj5CCvgPEw_IlsQah9G-RwXERRaURG8wLnhfNGdetw0BOcw-_giaLkFygJ0FVN_07NXlUibISDApnUe87zidR9vgVVvCrMiOglRo.iYuLsYhwz7qo4nbq86c2rmXb9kGoX8Un_RVVj_Yx12k&dib_tag=se&keywords=hard+drive&qid=1746312703&sr=8-2
2,Amazon,monitor,‎B07CRG94G3,"Seagate Portable 2TB External Hard Drive HDD — USB 3.0 for PC, Mac, PlayStation, & Xbox -1-Year Rescue Service (STGX2000400)",69.99,Seagate,‎Basic Portable Drive,2 TB,Portable,"Laptop, Desktop",External Hard Drive,https://www.amazon.com/Seagate-Portable-External-Hard-Drive/dp/B07CRG94G3/ref=sr_1_1?dib=eyJ2IjoiMSJ9.OtIs0-TwzvdNcHT81vPKhwxdOCL6-fNfsuDnla_0btcElL5PDLE7UOBLol3kzEdUXgdBSwQBsCeo9bqBA_rIyQq7zDG17W56Cj7j8LzMVBmGDqEFL41CsHgFGtlZ6hfzW3Gc7mQFj5CCvgPEw_IlsQah9G-RwXERRaURG8wLnhfNGdetw0BOcw-_giaLkFygJ0FVN_07NXlUibISDApnUe87zidR9vgVVvCrMiOglRo.iYuLsYhwz7qo4nbq86c2rmXb9kGoX8Un_RVVj_Yx12k&dib_tag=se&keywords=hard+drive&qid=1746312703&sr=8-1
3,Amazon,monitor,‎B091FS79T8,"UnionSine 500GB 2.5"" Ultra Slim Portable External Hard Drive HDD-USB 3.0 for PC, Mac, Laptop, PS4, Xbox one,Xbox 360-HD-2510(Black)",28.28,UnionSine,‎HD2510,500 GB,"3 Years Warranty, portable hard drive","PS4, Laptop, Desktop, xbox",External Hard Drive,https://www.amazon.com/UnionSine-Portable-External-Storage-Compatible/dp/B091FS79T8/ref=sr_1_3?dib=eyJ2IjoiMSJ9.OtIs0-TwzvdNcHT81vPKhwxdOCL6-fNfsuDnla_0btcElL5PDLE7UOBLol3kzEdUXgdBSwQBsCeo9bqBA_rIyQq7zDG17W56Cj7j8LzMVBmGDqEFL41CsHgFGtlZ6hfzW3Gc7mQFj5CCvgPEw_IlsQah9G-RwXERRaURG8wLnhfNGdetw0BOcw-_giaLkFygJ0FVN_07NXlUibISDApnUe87zidR9vgVVvCrMiOglRo.iYuLsYhwz7qo4nbq86c2rmXb9kGoX8Un_RVVj_Yx12k&dib_tag=se&keywords=hard+drive&qid=1746312703&sr=8-3
4,Amazon,monitor,‎B00IRV005E,"LaCie Rugged Mini 2TB External Hard Drive Portable HDD - USB 3.0/ 2.0 Compatible, Drop Shock Dust Rain Resistant Shuttle Drive, For Mac And PC Computer (LAC9000298), orange",89.0,LaCie,‎LaCie Rugged Mini,2 TB,Portable,Laptop,External Hard Drive,https://www.amazon.com/LaCie-Rugged-External-Portable-LAC9000298/dp/B00IRV005E/ref=sr_1_5?dib=eyJ2IjoiMSJ9.OtIs0-TwzvdNcHT81vPKhwxdOCL6-fNfsuDnla_0btcElL5PDLE7UOBLol3kzEdUXgdBSwQBsCeo9bqBA_rIyQq7zDG17W56Cj7j8LzMVBmGDqEFL41CsHgFGtlZ6hfzW3Gc7mQFj5CCvgPEw_IlsQah9G-RwXERRaURG8wLnhfNGdetw0BOcw-_giaLkFygJ0FVN_07NXlUibISDApnUe87zidR9vgVVvCrMiOglRo.iYuLsYhwz7qo4nbq86c2rmXb9kGoX8Un_RVVj_Yx12k&dib_tag=se&keywords=hard+drive&qid=1746312703&sr=8-5
5,Amazon,monitor,‎B07D9C7SQH,Seagate BarraCuda 4TB Internal Hard Drive HDD – 3.5 Inch Sata 6 Gb/s 5400 RPM 256MB Cache For Computer Desktop PC – Frustration Free Packaging ST4000DMZ04/DM004,74.99,Seagate,‎ST4000DMZ04,4 TB,Data Recovery Service,Desktop,Internal Hard Drive,https://www.amazon.com/Seagate-BarraCuda-Internal-Drive-3-5-Inch/dp/B07D9C7SQH/ref=sr_1_4?dib=eyJ2IjoiMSJ9.OtIs0-TwzvdNcHT81vPKhwxdOCL6-fNfsuDnla_0btcElL5PDLE7UOBLol3kzEdUXgdBSwQBsCeo9bqBA_rIyQq7zDG17W56Cj7j8LzMVBmGDqEFL41CsHgFGtlZ6hfzW3Gc7mQFj5CCvgPEw_IlsQah9G-RwXERRaURG8wLnhfNGdetw0BOcw-_giaLkFygJ0FVN_07NXlUibISDApnUe87zidR9vgVVvCrMiOglRo.iYuLsYhwz7qo4nbq86c2rmXb9kGoX8Un_RVVj_Yx12k&dib_tag=se&keywords=hard+drive&qid=1746312703&sr=8-4
6,Amazon,monitor,‎B0BQX6DVWY,"Toshiba Canvio Basics 1TB Portable External Hard Drive USB 3.0, Black - HDTB510XK3AA",54.84,Toshiba,‎Canvio Basics,1 TB,Portable,Laptop,External Hard Drive,https://www.amazon.com/Toshiba-Canvio-Basics-Portable-External/dp/B0BQX6DVWY/ref=sr_1_6?dib=eyJ2IjoiMSJ9.OtIs0-TwzvdNcHT81vPKhwxdOCL6-fNfsuDnla_0btcElL5PDLE7UOBLol3kzEdUXgdBSwQBsCeo9bqBA_rIyQq7zDG17W56Cj7j8LzMVBmGDqEFL41CsHgFGtlZ6hfzW3Gc7mQFj5CCvgPEw_IlsQah9G-RwXERRaURG8wLnhfNGdetw0BOcw-_giaLkFygJ0FVN_07NXlUibISDApnUe87zidR9vgVVvCrMiOglRo.iYuLsYhwz7qo4nbq86c2rmXb9kGoX8Un_RVVj_Yx12k&dib_tag=se&keywords=hard+drive&qid=1746312703&sr=8-6
7,Amazon,monitor,‎B0B2CYCNMG,"Portable External Hard Drive 1TB Storage Expansion HDD USB 3.0 USB-C for PC, Mac, Desktop, Laptop, Phone, PS4, PS5, PlayStation, Xbox One, Xbox 360, Xbox Series X/S, Android, Office & Game",42.49,YOTUO,‎SY-HDD01,1 TB,Portable,"Laptop, Gaming Console, Desktop",External Hard Drive,https://www.amazon.com/Portable-External-Mobile-Desktop-Laptop/dp/B0B2CYCNMG/ref=sr_1_7?dib=eyJ2IjoiMSJ9.OtIs0-TwzvdNcHT81vPKhwxdOCL6-fNfsuDnla_0btcElL5PDLE7UOBLol3kzEdUXgdBSwQBsCeo9bqBA_rIyQq7zDG17W56Cj7j8LzMVBmGDqEFL41CsHgFGtlZ6hfzW3Gc7mQFj5CCvgPEw_IlsQah9G-RwXERRaURG8wLnhfNGdetw0BOcw-_giaLkFygJ0FVN_07NXlUibISDApnUe87zidR9vgVVvCrMiOglRo.iYuLsYhwz7qo4nbq86c2rmXb9kGoX8Un_RVVj_Yx12k&dib_tag=se&keywords=hard+drive&qid=1746312703&sr=8-7
8,Amazon,monitor,B0874XN4D8,"SAMSUNG T7 Portable SSD, 1TB External Solid State Drive, Speeds Up to 1,050MB/s, USB 3.2 Gen 2, Reliable Storage for Gaming, Students, Professionals, MU-PC1T0T/AM, Gray",89.99,SAMSUNG,,1 TB,,"PC, Gaming Console, Tablet, Smartphone, Mac",External Hard Drive,https://www.amazon.com/SAMSUNG-Portable-SSD-1TB-MU-PC1T0T/dp/B0874XN4D8/ref=sr_1_8?dib=eyJ2IjoiMSJ9.OtIs0-TwzvdNcHT81vPKhwxdOCL6-fNfsuDnla_0btcElL5PDLE7UOBLol3kzEdUXgdBSwQBsCeo9bqBA_rIyQq7zDG17W56Cj7j8LzMVBmGDqEFL41CsHgFGtlZ6hfzW3Gc7mQFj5CCvgPEw_IlsQah9G-RwXERRaURG8wLnhfNGdetw0BOcw-_giaLkFygJ0FVN_07NXlUibISDApnUe87zidR9vgVVvCrMiOglRo.iYuLsYhwz7qo4nbq86c2rmXb9kGoX8Un_RVVj_Yx12k&dib_tag=se&keywords=hard+drive&qid=1746312703&sr=8-8
9,Amazon,monitor,‎B09VCXWPQG,"WD 20TB Elements Desktop External Hard Drive, USB 3.0 drive for plug-and-play storage - WDBWLG0200HBK-NESN",149.99,Western Digital,‎Elements Desktop,20000 GB,"Plug-and-play simplicity, Fast transfer rates","PC, Mac",External Hard Drive,https://www.amazon.com/Elements-Desktop-External-external-storage/dp/B09VCXWPQG/ref=sr_1_9?dib=eyJ2IjoiMSJ9.OtIs0-TwzvdNcHT81vPKhwxdOCL6-fNfsuDnla_0btcElL5PDLE7UOBLol3kzEdUXgdBSwQBsCeo9bqBA_rIyQq7zDG17W56Cj7j8LzMVBmGDqEFL41CsHgFGtlZ6hfzW3Gc7mQFj5CCvgPEw_IlsQah9G-RwXERRaURG8wLnhfNGdetw0BOcw-_giaLkFygJ0FVN_07NXlUibISDApnUe87zidR9vgVVvCrMiOglRo.iYuLsYhwz7qo4nbq86c2rmXb9kGoX8Un_RVVj_Yx12k&dib_tag=se&keywords=hard+drive&qid=1746312703&sr=8-9
10,Amazon,monitor,‎B07X41PWTY,"WD 5TB Elements Portable External Hard Drive for Windows, USB 3.2 Gen 1/USB 3.0 for PC & Mac, Plug and Play Ready - WDBU6Y0050BBK-WESN",129.99,Western Digital,‎Elements Desktop,5 TB,Portable,"Laptop, Desktop, Tablet",External Hard Drive,https://www.amazon.com/Elements-Portable-External-Drive-WDBU6Y0050BBK-WESN/dp/B07X41PWTY/ref=sr_1_10?dib=eyJ2IjoiMSJ9.OtIs0-TwzvdNcHT81vPKhwxdOCL6-fNfsuDnla_0btcElL5PDLE7UOBLol3kzEdUXgdBSwQBsCeo9bqBA_rIyQq7zDG17W56Cj7j8LzMVBmGDqEFL41CsHgFGtlZ6hfzW3Gc7mQFj5CCvgPEw_IlsQah9G-RwXERRaURG8wLnhfNGdetw0BOcw-_giaLkFygJ0FVN_07NXlUibISDApnUe87zidR9vgVVvCrMiOglRo.iYuLsYhwz7qo4nbq86c2rmXb9kGoX8Un_RVVj_Yx12k&dib_tag=se&keywords=hard+drive&qid=1746312703&sr=8-10
11,Amazon,monitor,‎B07C812LHQ,"Maxone 1TB Ultra Slim Portable External Hard Drive HDD USB 3.0 Compatible with PC, Laptop, Charcoal Grey",48.89,Maxone,‎Ultra Slim,1 TB,"3 Years Warranty, Portable hard drive","Laptop, Desktop",External Hard Drive,https://www.amazon.com/1000GB-Portable-External-Desktop-Chromebook/dp/B07C812LHQ/ref=sr_1_11?dib=eyJ2IjoiMSJ9.OtIs0-TwzvdNcHT81vPKhwxdOCL6-fNfsuDnla_0btcElL5PDLE7UOBLol3kzEdUXgdBSwQBsCeo9bqBA_rIyQq7zDG17W56Cj7j8LzMVBmGDqEFL41CsHgFGtlZ6hfzW3Gc7mQFj5CCvgPEw_IlsQah9G-RwXERRaURG8wLnhfNGdetw0BOcw-_giaLkFygJ0FVN_07NXlUibISDApnUe87zidR9vgVVvCrMiOglRo.iYuLsYhwz7qo4nbq86c2rmXb9kGoX8Un_RVVj_Yx12k&dib_tag=se&keywords=hard+drive&qid=1746312703&sr=8-11
12,Amazon,monitor,‎B08JKJDM62,"Toshiba Canvio Advance 1TB Portable External Hard Drive USB 3.0, Green - HDTCA10XG3AA, Backup 2.0",56.99,Toshiba,‎Canvio Advance,1 TB,Portable,"PC, mac (reformatting required)",External Hard Drive,https://www.amazon.com/Toshiba-Canvio-Advance-Portable-External/dp/B08JKJDM62/ref=sr_1_12?dib=eyJ2IjoiMSJ9.OtIs0-TwzvdNcHT81vPKhwxdOCL6-fNfsuDnla_0btcElL5PDLE7UOBLol3kzEdUXgdBSwQBsCeo9bqBA_rIyQq7zDG17W56Cj7j8LzMVBmGDqEFL41CsHgFGtlZ6hfzW3Gc7mQFj5CCvgPEw_IlsQah9G-RwXERRaURG8wLnhfNGdetw0BOcw-_giaLkFygJ0FVN_07NXlUibISDApnUe87zidR9vgVVvCrMiOglRo.iYuLsYhwz7qo4nbq86c2rmXb9kGoX8Un_RVVj_Yx12k&dib_tag=se&keywords=hard+drive&qid=1746312703&sr=8-12
13,Amazon,monitor,‎B06W55K9N6,"WD 2TB Elements Portable External Hard Drive for Windows, USB 3.2 Gen 1/USB 3.0 for PC & Mac, Plug and Play Ready - WDBU6Y0020BBK-WESN",79.99,WD,‎Elements Desktop,2 TB,Portable,"Desktop, Laptop, Gaming Console",External Hard Drive,https://www.amazon.com/Western-Digital-Elements-Portable-External/dp/B06W55K9N6/ref=sr_1_13?dib=eyJ2IjoiMSJ9.OtIs0-TwzvdNcHT81vPKhwxdOCL6-fNfsuDnla_0btcElL5PDLE7UOBLol3kzEdUXgdBSwQBsCeo9bqBA_rIyQq7zDG17W56Cj7j8LzMVBmGDqEFL41CsHgFGtlZ6hfzW3Gc7mQFj5CCvgPEw_IlsQah9G-RwXERRaURG8wLnhfNGdetw0BOcw-_giaLkFygJ0FVN_07NXlUibISDApnUe87zidR9vgVVvCrMiOglRo.iYuLsYhwz7qo4nbq86c2rmXb9kGoX8Un_RVVj_Yx12k&dib_tag=se&keywords=hard+drive&qid=1746312703&sr=8-13
14,Amazon,monitor,‎B0BNGLFBXV,"Western Digital 4TB WD Blue PC Internal Hard Drive HDD - 5400 RPM, SATA 6 Gb/s, 256 MB Cache, 3.5"" - WD40EZAX",84.99,Western Digital,‎Blue HDD,4 TB,Portable,"Laptop, Desktop",Internal Hard Drive,https://www.amazon.com/Western-Digital-Blue-Internal-Drive/dp/B0BNGLFBXV/ref=sr_1_15?dib=eyJ2IjoiMSJ9.OtIs0-TwzvdNcHT81vPKhwxdOCL6-fNfsuDnla_0btcElL5PDLE7UOBLol3kzEdUXgdBSwQBsCeo9bqBA_rIyQq7zDG17W56Cj7j8LzMVBmGDqEFL41CsHgFGtlZ6hfzW3Gc7mQFj5CCvgPEw_IlsQah9G-RwXERRaURG8wLnhfNGdetw0BOcw-_giaLkFygJ0FVN_07NXlUibISDApnUe87zidR9vgVVvCrMiOglRo.iYuLsYhwz7qo4nbq86c2rmXb9kGoX8Un_RVVj_Yx12k&dib_tag=se&keywords=hard+drive&qid=1746312703&sr=8-15
15,Amazon,monitor,‎B0C9YLX21T,"SanDisk Professional 5TB G-Drive ArmorATD - Rugged, Durable Portable External Hard Drive HDD, USB-C, USB 3.2 Gen 1 - SDPH81G-005T-GBA1D",170.99,SanDisk Professional,,5 TB,"Portable, Durable",Desktop,External Hard Drive,https://www.amazon.com/SanDisk-Professional-G-Drive-ArmorATD-SDPH81G-005T-GBA1D/dp/B0C9YLX21T/ref=sr_1_14?dib=eyJ2IjoiMSJ9.OtIs0-TwzvdNcHT81vPKhwxdOCL6-fNfsuDnla_0btcElL5PDLE7UOBLol3kzEdUXgdBSwQBsCeo9bqBA_rIyQq7zDG17W56Cj7j8LzMVBmGDqEFL41CsHgFGtlZ6hfzW3Gc7mQFj5CCvgPEw_IlsQah9G-RwXERRaURG8wLnhfNGdetw0BOcw-_giaLkFygJ0FVN_07NXlUibISDApnUe87zidR9vgVVvCrMiOglRo.iYuLsYhwz7qo4nbq86c2rmXb9kGoX8Un_RVVj_Yx12k&dib_tag=se&keywords=hard+drive&qid=1746312703&sr=8-14
