id,website,category,asin,title,price,brand,series,storage,special_feature,compatible_devices,type,link
1,Amazon,monitor,‎B07CRG94G3,"Seagate Portable 2TB External Hard Drive HDD — USB 3.0 for PC, Mac, PlayStation, & Xbox -1-Year Rescue Service (STGX2000400)",69.99,Seagate,‎Basic Portable Drive,2 TB,Portable,"Laptop, Desktop",External Hard Drive,https://www.amazon.com/Seagate-Portable-External-Hard-Drive/dp/B07CRG94G3/ref=sr_1_1?dib=eyJ2IjoiMSJ9.OtIs0-TwzvdNcHT81vPKh7btHQTd4To47oVtL4_Kj1ieT1yzqY1L8e4eCvnKKw5lV_rOF--m3Lq6hfMMrzOlmlno7cGvIQu6IGL_sUf5VUwk4dH82O5c-4Zwos0JFeaM6LA4_t9VP9RPb2PNRo_un5_crJ4ByQd7Egd-O2BHFPhxAjvhBuOLYFFmvD-9YvSJewp6SXcYuNZ-w-mLqmKvl4vfgK2gEHAhqyDRQbWgujU.9dZcYptZRmihskPNpAu_mqoEETpQD8G_TiTKL36j63I&dib_tag=se&keywords=hard+drive&qid=1748213489&sr=8-1
2,Amazon,monitor,‎B08GTYFC37,"SanDisk 1TB Extreme Portable SSD - Up to 1050MB/s, USB-C, USB 3.2 Gen 2, IP65 Water and Dust Resistance, Updated Firmware - External Solid State Drive - SDSSDE61-1T00-G25",104.99,SanDisk,‎SanDisk Extreme Portable SSD,1 TB,"Water-resistant,dust-resistant,Portable","Laptop, Desktop, Tablet",,https://www.amazon.com/SanDisk-1TB-Extreme-Portable-SDSSDE61-1T00-G25/dp/B08GTYFC37/ref=sr_1_2?dib=eyJ2IjoiMSJ9.OtIs0-TwzvdNcHT81vPKh7btHQTd4To47oVtL4_Kj1ieT1yzqY1L8e4eCvnKKw5lV_rOF--m3Lq6hfMMrzOlmlno7cGvIQu6IGL_sUf5VUwk4dH82O5c-4Zwos0JFeaM6LA4_t9VP9RPb2PNRo_un5_crJ4ByQd7Egd-O2BHFPhxAjvhBuOLYFFmvD-9YvSJewp6SXcYuNZ-w-mLqmKvl4vfgK2gEHAhqyDRQbWgujU.9dZcYptZRmihskPNpAu_mqoEETpQD8G_TiTKL36j63I&dib_tag=se&keywords=hard+drive&qid=1748213489&sr=8-2
3,Amazon,monitor,B0F7XJCM57,"Lacdo Hard Drive Carrying Case for Aiolo Innovation External Hard Drive Ultra Slim 1TB 2TB 5TB 500GB USB 3.0 Portable HDD EVA Shockproof Travel Bag, Water Resistant, Black",10.99,Lacdo,,,,Aiolo Innovation Ultra Slim Portable External Hard Drive,,https://www.amazon.com/Lacdo-Carrying-Innovation-Shockproof-Resistant/dp/B0F7XJCM57/ref=sr_1_3?dib=eyJ2IjoiMSJ9.OtIs0-TwzvdNcHT81vPKh7btHQTd4To47oVtL4_Kj1ieT1yzqY1L8e4eCvnKKw5lV_rOF--m3Lq6hfMMrzOlmlno7cGvIQu6IGL_sUf5VUwk4dH82O5c-4Zwos0JFeaM6LA4_t9VP9RPb2PNRo_un5_crJ4ByQd7Egd-O2BHFPhxAjvhBuOLYFFmvD-9YvSJewp6SXcYuNZ-w-mLqmKvl4vfgK2gEHAhqyDRQbWgujU.9dZcYptZRmihskPNpAu_mqoEETpQD8G_TiTKL36j63I&dib_tag=se&keywords=hard+drive&qid=1748213489&sr=8-3
4,Amazon,monitor,‎B091FS79T8,"UnionSine 500GB 2.5"" Ultra Slim Portable External Hard Drive HDD-USB 3.0 for PC, Mac, Laptop, PS4, Xbox one,Xbox 360-HD-2510(Black)",28.27,UnionSine,‎HD2510,500 GB,"3 Years Warranty, portable hard drive","PS4, Laptop, Desktop, xbox",External Hard Drive,https://www.amazon.com/UnionSine-Portable-External-Storage-Compatible/dp/B091FS79T8/ref=sr_1_4?dib=eyJ2IjoiMSJ9.OtIs0-TwzvdNcHT81vPKh7btHQTd4To47oVtL4_Kj1ieT1yzqY1L8e4eCvnKKw5lV_rOF--m3Lq6hfMMrzOlmlno7cGvIQu6IGL_sUf5VUwk4dH82O5c-4Zwos0JFeaM6LA4_t9VP9RPb2PNRo_un5_crJ4ByQd7Egd-O2BHFPhxAjvhBuOLYFFmvD-9YvSJewp6SXcYuNZ-w-mLqmKvl4vfgK2gEHAhqyDRQbWgujU.9dZcYptZRmihskPNpAu_mqoEETpQD8G_TiTKL36j63I&dib_tag=se&keywords=hard+drive&qid=1748213489&sr=8-4
5,Amazon,monitor,‎B07D9C7SQH,Seagate BarraCuda 4TB Internal Hard Drive HDD – 3.5 Inch Sata 6 Gb/s 5400 RPM 256MB Cache For Computer Desktop PC – Frustration Free Packaging ST4000DMZ04/DM004,84.99,Seagate,‎ST4000DMZ04,4 TB,Data Recovery Service,Desktop,Internal Hard Drive,https://www.amazon.com/Seagate-BarraCuda-Internal-Drive-3-5-Inch/dp/B07D9C7SQH/ref=sr_1_5?dib=eyJ2IjoiMSJ9.OtIs0-TwzvdNcHT81vPKh7btHQTd4To47oVtL4_Kj1ieT1yzqY1L8e4eCvnKKw5lV_rOF--m3Lq6hfMMrzOlmlno7cGvIQu6IGL_sUf5VUwk4dH82O5c-4Zwos0JFeaM6LA4_t9VP9RPb2PNRo_un5_crJ4ByQd7Egd-O2BHFPhxAjvhBuOLYFFmvD-9YvSJewp6SXcYuNZ-w-mLqmKvl4vfgK2gEHAhqyDRQbWgujU.9dZcYptZRmihskPNpAu_mqoEETpQD8G_TiTKL36j63I&dib_tag=se&keywords=hard+drive&qid=1748213489&sr=8-5
6,Amazon,monitor,‎B0BQX6NNVC,"Toshiba Canvio Basics 2TB Portable External Hard Drive USB 3.0, Black - HDTB520XK3AA",71.49,TOSHIBA,‎Canvio Basics,2 TB,Portable,"Laptop, Desktop",External Hard Drive,https://www.amazon.com/Toshiba-Canvio-Basics-Portable-External/dp/B0BQX6NNVC/ref=sr_1_6?dib=eyJ2IjoiMSJ9.OtIs0-TwzvdNcHT81vPKh7btHQTd4To47oVtL4_Kj1ieT1yzqY1L8e4eCvnKKw5lV_rOF--m3Lq6hfMMrzOlmlno7cGvIQu6IGL_sUf5VUwk4dH82O5c-4Zwos0JFeaM6LA4_t9VP9RPb2PNRo_un5_crJ4ByQd7Egd-O2BHFPhxAjvhBuOLYFFmvD-9YvSJewp6SXcYuNZ-w-mLqmKvl4vfgK2gEHAhqyDRQbWgujU.9dZcYptZRmihskPNpAu_mqoEETpQD8G_TiTKL36j63I&dib_tag=se&keywords=hard+drive&qid=1748213489&sr=8-6
7,Amazon,monitor,‎B0F4XZDR53,Seagate Exos X14 ST14000NM0408 14TB 7.2K RPM CMR SATA 6Gb/s 512e 3.5in Hard Drive (Renewed),149.99,Seagate,‎Exos X14,14 TB,Hot Swappable,,,https://www.amazon.com/Seagate-ST14000NM0408-3-5in-Drive-Renewed/dp/B0F4XZDR53/ref=sr_1_7?dib=eyJ2IjoiMSJ9.OtIs0-TwzvdNcHT81vPKh7btHQTd4To47oVtL4_Kj1ieT1yzqY1L8e4eCvnKKw5lV_rOF--m3Lq6hfMMrzOlmlno7cGvIQu6IGL_sUf5VUwk4dH82O5c-4Zwos0JFeaM6LA4_t9VP9RPb2PNRo_un5_crJ4ByQd7Egd-O2BHFPhxAjvhBuOLYFFmvD-9YvSJewp6SXcYuNZ-w-mLqmKvl4vfgK2gEHAhqyDRQbWgujU.9dZcYptZRmihskPNpAu_mqoEETpQD8G_TiTKL36j63I&dib_tag=se&keywords=hard+drive&qid=1748213489&sr=8-7
8,Amazon,monitor,B0874XN4D8,"Samsung T7 Portable SSD, 1TB External Solid State Drive, Speeds Up to 1,050MB/s, USB 3.2 Gen 2, Reliable Storage for Gaming, Students, Professionals, MU-PC1T0T/AM, Gray",99.99,Samsung,,1 TB,,"PC, Gaming Console, Tablet, Smartphone, Mac",External Hard Drive,https://www.amazon.com/SAMSUNG-Portable-SSD-1TB-MU-PC1T0T/dp/B0874XN4D8/ref=sr_1_8?dib=eyJ2IjoiMSJ9.OtIs0-TwzvdNcHT81vPKh7btHQTd4To47oVtL4_Kj1ieT1yzqY1L8e4eCvnKKw5lV_rOF--m3Lq6hfMMrzOlmlno7cGvIQu6IGL_sUf5VUwk4dH82O5c-4Zwos0JFeaM6LA4_t9VP9RPb2PNRo_un5_crJ4ByQd7Egd-O2BHFPhxAjvhBuOLYFFmvD-9YvSJewp6SXcYuNZ-w-mLqmKvl4vfgK2gEHAhqyDRQbWgujU.9dZcYptZRmihskPNpAu_mqoEETpQD8G_TiTKL36j63I&dib_tag=se&keywords=hard+drive&qid=1748213489&sr=8-8
9,Amazon,monitor,‎B0058VIWTM,"LaCie Rugged Mini 1TB USB 3.0 Portable External Hard Drive - Shock, Dust and Rain Resistant for Mac and PC",79.99,LaCie,‎LaCie Rugged Mini,1 TB,Portable,Laptop,External Hard Drive,https://www.amazon.com/LaCie-Rugged-External-Drive-Portable/dp/B0058VIWTM/ref=sr_1_9?dib=eyJ2IjoiMSJ9.OtIs0-TwzvdNcHT81vPKh7btHQTd4To47oVtL4_Kj1ieT1yzqY1L8e4eCvnKKw5lV_rOF--m3Lq6hfMMrzOlmlno7cGvIQu6IGL_sUf5VUwk4dH82O5c-4Zwos0JFeaM6LA4_t9VP9RPb2PNRo_un5_crJ4ByQd7Egd-O2BHFPhxAjvhBuOLYFFmvD-9YvSJewp6SXcYuNZ-w-mLqmKvl4vfgK2gEHAhqyDRQbWgujU.9dZcYptZRmihskPNpAu_mqoEETpQD8G_TiTKL36j63I&dib_tag=se&keywords=hard+drive&qid=1748213489&sr=8-9
10,Amazon,monitor,‎B07C812LHQ,"Maxone 1TB Ultra Slim Portable External Hard Drive HDD USB 3.0 Compatible with PC, Laptop, Charcoal Grey",47.69,Maxone,‎Ultra Slim,1 TB,"3 Years Warranty, Portable hard drive","Laptop, Desktop",External Hard Drive,https://www.amazon.com/1000GB-Portable-External-Desktop-Chromebook/dp/B07C812LHQ/ref=sr_1_11?dib=eyJ2IjoiMSJ9.OtIs0-TwzvdNcHT81vPKh7btHQTd4To47oVtL4_Kj1ieT1yzqY1L8e4eCvnKKw5lV_rOF--m3Lq6hfMMrzOlmlno7cGvIQu6IGL_sUf5VUwk4dH82O5c-4Zwos0JFeaM6LA4_t9VP9RPb2PNRo_un5_crJ4ByQd7Egd-O2BHFPhxAjvhBuOLYFFmvD-9YvSJewp6SXcYuNZ-w-mLqmKvl4vfgK2gEHAhqyDRQbWgujU.9dZcYptZRmihskPNpAu_mqoEETpQD8G_TiTKL36j63I&dib_tag=se&keywords=hard+drive&qid=1748213489&sr=8-11
