id,website,category,asin,title,price,brand,series,storage,special_feature,compatible_devices,type,link
1,Amazon,monitor,‎B07CRGSR16,"Seagate Portable 4TB External Hard Drive HDD – USB 3.0 for PC, Mac, Xbox, & PlayStation - 1-Year Rescue Service (STGX4000400)",124.99,Seagate,‎STGX4000400,4 TB,Portable,"Desktop, Laptop",Plug In,https://www.amazon.com/Seagate-Portable-External-Hard-Drive/dp/B07CRGSR16/ref=sr_1_4?dib=eyJ2IjoiMSJ9.woUklhGyYtKtyp0dxeHA2IDnGirNNQV523DWSR5LxfG5TIwjkyxNZXnriqr3L5rJ1UzClNOUeTdEAXRPeFcQSuJauEaqBL-Hpp6nlqKmHTSA-sh0A046McmrU5Iu5fwg_PDRyIygDvNr91Vn9maddTrYF2dDHRE799sml3pT_EVdOKR8zvZIhVrAxy_wT9q3jBWxcOy1hoZsGxN2I5NqocC44JDPzyWcvMr35g__HMo.smdc7tnA5dVMfhdL2gGGVwuIQfx1KZEcXYnQBf18rn0&dib_tag=se&keywords=hard+drive&qid=1758149503&sr=8-4
2,Amazon,monitor,‎B00IRV005E,"LaCie Rugged Mini 2TB External Hard Drive Portable HDD - USB 3.0/ 2.0 Compatible, Drop Shock Dust Rain Resistant Shuttle Drive, For Mac And PC Computer (LAC9000298), orange",85.0,LaCie,‎LaCie Rugged Mini,2 TB,Portable,Laptop,External Hard Drive,https://www.amazon.com/LaCie-Rugged-External-Portable-LAC9000298/dp/B00IRV005E/ref=sr_1_3?dib=eyJ2IjoiMSJ9.woUklhGyYtKtyp0dxeHA2IDnGirNNQV523DWSR5LxfG5TIwjkyxNZXnriqr3L5rJ1UzClNOUeTdEAXRPeFcQSuJauEaqBL-Hpp6nlqKmHTSA-sh0A046McmrU5Iu5fwg_PDRyIygDvNr91Vn9maddTrYF2dDHRE799sml3pT_EVdOKR8zvZIhVrAxy_wT9q3jBWxcOy1hoZsGxN2I5NqocC44JDPzyWcvMr35g__HMo.smdc7tnA5dVMfhdL2gGGVwuIQfx1KZEcXYnQBf18rn0&dib_tag=se&keywords=hard+drive&qid=1758149503&sr=8-3
3,Amazon,monitor,‎B0FN89FTS2,Western Digital Ultrastar DC HC570 WUH722222ALE601 0F48151 22TB 7.2K RPM SATA 6Gb/s 512e 3.5in Enterprise Hard Drive (Renewed),304.99,Western Digital,,22 TB,Dust Resistant,,,https://www.amazon.com/Western-Digital-Ultrastar-WUH722222ALE601-Enterprise/dp/B0FN89FTS2/ref=sr_1_5?dib=eyJ2IjoiMSJ9.woUklhGyYtKtyp0dxeHA2IDnGirNNQV523DWSR5LxfG5TIwjkyxNZXnriqr3L5rJ1UzClNOUeTdEAXRPeFcQSuJauEaqBL-Hpp6nlqKmHTSA-sh0A046McmrU5Iu5fwg_PDRyIygDvNr91Vn9maddTrYF2dDHRE799sml3pT_EVdOKR8zvZIhVrAxy_wT9q3jBWxcOy1hoZsGxN2I5NqocC44JDPzyWcvMr35g__HMo.smdc7tnA5dVMfhdL2gGGVwuIQfx1KZEcXYnQBf18rn0&dib_tag=se&keywords=hard+drive&qid=1758149503&sr=8-5
4,Amazon,monitor,‎B0BQX6NNVC,"Toshiba Canvio Basics 2TB Portable External Hard Drive USB 3.0, Black - HDTB520XK3AA",70.44,TOSHIBA,‎Canvio Basics,2 TB,Portable,"Desktop, Laptop",External Hard Drive,https://www.amazon.com/Toshiba-Canvio-Basics-Portable-External/dp/B0BQX6NNVC/ref=sr_1_6?dib=eyJ2IjoiMSJ9.woUklhGyYtKtyp0dxeHA2IDnGirNNQV523DWSR5LxfG5TIwjkyxNZXnriqr3L5rJ1UzClNOUeTdEAXRPeFcQSuJauEaqBL-Hpp6nlqKmHTSA-sh0A046McmrU5Iu5fwg_PDRyIygDvNr91Vn9maddTrYF2dDHRE799sml3pT_EVdOKR8zvZIhVrAxy_wT9q3jBWxcOy1hoZsGxN2I5NqocC44JDPzyWcvMr35g__HMo.smdc7tnA5dVMfhdL2gGGVwuIQfx1KZEcXYnQBf18rn0&dib_tag=se&keywords=hard+drive&qid=1758149503&sr=8-6
5,Amazon,monitor,‎B07D9C7SQH,Seagate BarraCuda 4TB Internal Hard Drive HDD – 3.5 Inch Sata 6 Gb/s 5400 RPM 256MB Cache For Computer Desktop PC – Frustration Free Packaging ST4000DMZ04/DM004,74.99,Seagate,‎ST4000DMZ04,4 TB,Data Recovery Service,Desktop,Internal Hard Drive,https://www.amazon.com/Seagate-BarraCuda-Internal-Drive-3-5-Inch/dp/B07D9C7SQH/ref=sr_1_9?dib=eyJ2IjoiMSJ9.woUklhGyYtKtyp0dxeHA2IDnGirNNQV523DWSR5LxfG5TIwjkyxNZXnriqr3L5rJ1UzClNOUeTdEAXRPeFcQSuJauEaqBL-Hpp6nlqKmHTSA-sh0A046McmrU5Iu5fwg_PDRyIygDvNr91Vn9maddTrYF2dDHRE799sml3pT_EVdOKR8zvZIhVrAxy_wT9q3jBWxcOy1hoZsGxN2I5NqocC44JDPzyWcvMr35g__HMo.smdc7tnA5dVMfhdL2gGGVwuIQfx1KZEcXYnQBf18rn0&dib_tag=se&keywords=hard+drive&qid=1758149503&sr=8-9
6,Amazon,monitor,‎B0713WPGLL,"WD 4TB Elements Portable External Hard Drive for Windows, USB 3.2 Gen 1/USB 3.0 for PC & Mac, Plug and Play Ready - ‎WDBU6Y0040BBK-WESN",114.25,Western Digital,‎Elements Desktop,4 TB,Portable,"Laptop,Desktop",External Hard Drive,https://www.amazon.com/Western-Digital-Elements-Portable-External/dp/B0713WPGLL/ref=sr_1_10?dib=eyJ2IjoiMSJ9.woUklhGyYtKtyp0dxeHA2IDnGirNNQV523DWSR5LxfG5TIwjkyxNZXnriqr3L5rJ1UzClNOUeTdEAXRPeFcQSuJauEaqBL-Hpp6nlqKmHTSA-sh0A046McmrU5Iu5fwg_PDRyIygDvNr91Vn9maddTrYF2dDHRE799sml3pT_EVdOKR8zvZIhVrAxy_wT9q3jBWxcOy1hoZsGxN2I5NqocC44JDPzyWcvMr35g__HMo.smdc7tnA5dVMfhdL2gGGVwuIQfx1KZEcXYnQBf18rn0&dib_tag=se&keywords=hard+drive&qid=1758149503&sr=8-10
7,Amazon,monitor,‎B084ZTSMWF,Seagate IronWolf 12TB NAS Internal Hard Drive HDD – CMR 3.5 Inch SATA 6Gb/s 7200 RPM 256MB Cache for RAID Network Attached Storage (ST12000VNZ008/ST12000VN0008),209.99,Seagate,‎ST12000VN0008/ST12000VNZ008,12 TB,Data Recovery Service,"Laptop,Gaming Console,Camera",Internal Hard Drive,https://www.amazon.com/Seagate-IronWolf-12TB-Internal-Drive/dp/B084ZTSMWF/ref=sr_1_8?dib=eyJ2IjoiMSJ9.woUklhGyYtKtyp0dxeHA2IDnGirNNQV523DWSR5LxfG5TIwjkyxNZXnriqr3L5rJ1UzClNOUeTdEAXRPeFcQSuJauEaqBL-Hpp6nlqKmHTSA-sh0A046McmrU5Iu5fwg_PDRyIygDvNr91Vn9maddTrYF2dDHRE799sml3pT_EVdOKR8zvZIhVrAxy_wT9q3jBWxcOy1hoZsGxN2I5NqocC44JDPzyWcvMr35g__HMo.smdc7tnA5dVMfhdL2gGGVwuIQfx1KZEcXYnQBf18rn0&dib_tag=se&keywords=hard+drive&qid=1758149503&sr=8-8
8,Amazon,monitor,‎B01MSSJ32J,"LaCie Rugged USB-C, 4TB, Portable External Hard Drive, Drop, Shock, Dust, Rain Resistant, for Mac & PC (STFR4000800)",149.99,LaCie,‎Rugged,4 TB,Portable and Durable,Included USB 3.0 adapter works with PC or Mac,External Hard Drive,https://www.amazon.com/LaCie-Rugged-USB-C-External-Portable/dp/B01MSSJ32J/ref=sr_1_11?dib=eyJ2IjoiMSJ9.woUklhGyYtKtyp0dxeHA2IDnGirNNQV523DWSR5LxfG5TIwjkyxNZXnriqr3L5rJ1UzClNOUeTdEAXRPeFcQSuJauEaqBL-Hpp6nlqKmHTSA-sh0A046McmrU5Iu5fwg_PDRyIygDvNr91Vn9maddTrYF2dDHRE799sml3pT_EVdOKR8zvZIhVrAxy_wT9q3jBWxcOy1hoZsGxN2I5NqocC44JDPzyWcvMr35g__HMo.smdc7tnA5dVMfhdL2gGGVwuIQfx1KZEcXYnQBf18rn0&dib_tag=se&keywords=hard+drive&qid=1758149503&sr=8-11
9,Amazon,monitor,‎B08RX3343D,"SanDisk 4TB Extreme PRO Portable SSD - Up to 2000MB/s - USB-C, USB 3.2 Gen 2x2, IP65 Water and Dust Resistance, Updated Firmware - External Solid State Drive - SDSSDE81-4T00-G25",309.99,SanDisk,‎SanDisk Extreme PRO Portable SSD,4 TB,"Hardware Encryption,Portable","Desktop, Laptop, Smartphone, Tablet",External Hard Drive,https://www.amazon.com/SanDisk-4TB-Extreme-Portable-SDSSDE81-4T00-G25/dp/B08RX3343D/ref=sr_1_14?dib=eyJ2IjoiMSJ9.woUklhGyYtKtyp0dxeHA2IDnGirNNQV523DWSR5LxfG5TIwjkyxNZXnriqr3L5rJ1UzClNOUeTdEAXRPeFcQSuJauEaqBL-Hpp6nlqKmHTSA-sh0A046McmrU5Iu5fwg_PDRyIygDvNr91Vn9maddTrYF2dDHRE799sml3pT_EVdOKR8zvZIhVrAxy_wT9q3jBWxcOy1hoZsGxN2I5NqocC44JDPzyWcvMr35g__HMo.smdc7tnA5dVMfhdL2gGGVwuIQfx1KZEcXYnQBf18rn0&dib_tag=se&keywords=hard+drive&qid=1758149503&sr=8-14
10,Amazon,monitor,‎B0FDF3WZH3,"1TB Portable External Hard Drive USB 3.0/Type-C – Slim High-Speed HDD for Backup, Storage, Gaming – Compatible with PC, Mac, Laptop, PS4, PS5, Xbox, Windows, MacBook, Smart TV (1TB)",47.39,ModusTech,,1 TB,"Dust Resistant, Fast Data Transfer HDD, LED Light, Portable, Shock Resistant hard drive","Desktop, Gaming Console, Laptop, Smartphone, Television",External Hard Drive,https://www.amazon.com/ModusTech-Portable-External-Drive-Type-C/dp/B0FDF3WZH3/ref=sr_1_13?dib=eyJ2IjoiMSJ9.woUklhGyYtKtyp0dxeHA2IDnGirNNQV523DWSR5LxfG5TIwjkyxNZXnriqr3L5rJ1UzClNOUeTdEAXRPeFcQSuJauEaqBL-Hpp6nlqKmHTSA-sh0A046McmrU5Iu5fwg_PDRyIygDvNr91Vn9maddTrYF2dDHRE799sml3pT_EVdOKR8zvZIhVrAxy_wT9q3jBWxcOy1hoZsGxN2I5NqocC44JDPzyWcvMr35g__HMo.smdc7tnA5dVMfhdL2gGGVwuIQfx1KZEcXYnQBf18rn0&dib_tag=se&keywords=hard+drive&qid=1758149503&sr=8-13
