id,website,category,asin,title,price,brand,series,storage,special_feature,compatible_devices,type,link
1,Amazon,monitor,‎B07CRG94G3,"Seagate Portable 2TB External Hard Drive HDD — USB 3.0 for PC, Mac, PlayStation, & Xbox -1-Year Rescue Service (STGX2000400)",78.86,Seagate,‎Basic Portable Drive,2 TB,Portable,"Desktop, Laptop",External Hard Drive,https://www.amazon.com/Seagate-Portable-External-Hard-Drive/dp/B07CRG94G3/ref=sr_1_1?dib=eyJ2IjoiMSJ9.OtIs0-TwzvdNcHT81vPKh-Qf77lnWJXsrdU1bIuL0kKHcTDwkyCUqo9A8Bkw8uQuvmC0VHGQEwOEXrFyQ8O-ggOKVnBoDDeP6pdUikP5qSmQbxec5Eg9clzCngo3OUlVlPrgjlNOKRvHrr31zCEhdN8XwJYBGcZEzt6fJBS286eaZV_YI28Kkv8wDcC8WwoVSPjTLMYmNil707KYkUu9qkKoSu2sISLuLuO7QiseB5g.QuLxzRDVxz8N3n0FJpyqx4cQw03OvOgxMTHlNxPrTH4&dib_tag=se&keywords=hard+drive&qid=1755471126&sr=8-1
2,Amazon,monitor,‎B08GTYFC37,"SanDisk 1TB Extreme Portable SSD - Up to 1050MB/s, USB-C, USB 3.2 Gen 2, IP65 Water and Dust Resistance, Updated Firmware - External Solid State Drive - SDSSDE61-1T00-G25",104.95,SanDisk,‎SanDisk Extreme Portable SSD,1 TB,"Water-resistant,dust-resistant,Portable","Desktop, Laptop, Tablet",,https://www.amazon.com/SanDisk-1TB-Extreme-Portable-SDSSDE61-1T00-G25/dp/B08GTYFC37/ref=sr_1_2?dib=eyJ2IjoiMSJ9.OtIs0-TwzvdNcHT81vPKh-Qf77lnWJXsrdU1bIuL0kKHcTDwkyCUqo9A8Bkw8uQuvmC0VHGQEwOEXrFyQ8O-ggOKVnBoDDeP6pdUikP5qSmQbxec5Eg9clzCngo3OUlVlPrgjlNOKRvHrr31zCEhdN8XwJYBGcZEzt6fJBS286eaZV_YI28Kkv8wDcC8WwoVSPjTLMYmNil707KYkUu9qkKoSu2sISLuLuO7QiseB5g.QuLxzRDVxz8N3n0FJpyqx4cQw03OvOgxMTHlNxPrTH4&dib_tag=se&keywords=hard+drive&qid=1755471126&sr=8-2
3,Amazon,monitor,‎B07H289S7C,"Seagate BarraCuda 8 TB Internal Hard Drive HDD – 3.5 Inch SATA 6 Gb/s, 5,400 RPM, 256 MB Cache for Computer Desktop PC (ST8000DMZ04/004)",119.99,Seagate,‎ST8000DMZ04,8 TB,Data Recovery Service,"Desktop, Gaming Console",Internal Hard Drive,https://www.amazon.com/Seagate-BarraCuda-Internal-Drive-3-5-Inch/dp/B07H289S7C/ref=sr_1_3?dib=eyJ2IjoiMSJ9.OtIs0-TwzvdNcHT81vPKh-Qf77lnWJXsrdU1bIuL0kKHcTDwkyCUqo9A8Bkw8uQuvmC0VHGQEwOEXrFyQ8O-ggOKVnBoDDeP6pdUikP5qSmQbxec5Eg9clzCngo3OUlVlPrgjlNOKRvHrr31zCEhdN8XwJYBGcZEzt6fJBS286eaZV_YI28Kkv8wDcC8WwoVSPjTLMYmNil707KYkUu9qkKoSu2sISLuLuO7QiseB5g.QuLxzRDVxz8N3n0FJpyqx4cQw03OvOgxMTHlNxPrTH4&dib_tag=se&keywords=hard+drive&qid=1755471126&sr=8-3
4,Amazon,monitor,‎B07YD3G568,"Western Digital 14TB Elements Desktop External Hard Drive, USB 3.0 external hard drive for plug-and-play storage - Western DigitalBWLG0140HBK-NESN",199.99,Western Digital,‎Elements Desktop,14 TB,Portable,"Desktop, Laptop",External Hard Drive,https://www.amazon.com/Western-Digital-WD-Elements-External/dp/B07YD3G568/ref=sr_1_4?dib=eyJ2IjoiMSJ9.OtIs0-TwzvdNcHT81vPKh-Qf77lnWJXsrdU1bIuL0kKHcTDwkyCUqo9A8Bkw8uQuvmC0VHGQEwOEXrFyQ8O-ggOKVnBoDDeP6pdUikP5qSmQbxec5Eg9clzCngo3OUlVlPrgjlNOKRvHrr31zCEhdN8XwJYBGcZEzt6fJBS286eaZV_YI28Kkv8wDcC8WwoVSPjTLMYmNil707KYkUu9qkKoSu2sISLuLuO7QiseB5g.QuLxzRDVxz8N3n0FJpyqx4cQw03OvOgxMTHlNxPrTH4&dib_tag=se&keywords=hard+drive&qid=1755471126&sr=8-4
5,Amazon,monitor,B0874XN4D8,"SAMSUNG T7 Portable SSD, 1TB External Solid State Drive, Speeds Up to 1,050MB/s, USB 3.2 Gen 2, Reliable Storage for Gaming, Students, Professionals, MU-PC1T0T/AM, Gray",89.99,SAMSUNG,,1 TB,,"Gaming Console, Mac, PC, Smartphone, Tablet",External Hard Drive,https://www.amazon.com/SAMSUNG-Portable-SSD-1TB-MU-PC1T0T/dp/B0874XN4D8/ref=sr_1_5?dib=eyJ2IjoiMSJ9.OtIs0-TwzvdNcHT81vPKh-Qf77lnWJXsrdU1bIuL0kKHcTDwkyCUqo9A8Bkw8uQuvmC0VHGQEwOEXrFyQ8O-ggOKVnBoDDeP6pdUikP5qSmQbxec5Eg9clzCngo3OUlVlPrgjlNOKRvHrr31zCEhdN8XwJYBGcZEzt6fJBS286eaZV_YI28Kkv8wDcC8WwoVSPjTLMYmNil707KYkUu9qkKoSu2sISLuLuO7QiseB5g.QuLxzRDVxz8N3n0FJpyqx4cQw03OvOgxMTHlNxPrTH4&dib_tag=se&keywords=hard+drive&qid=1755471126&sr=8-5
6,Amazon,monitor,‎B0BQX6DVWY,"Toshiba Canvio Basics 1TB Portable External Hard Drive USB 3.0, Black - HDTB510XK3AA",56.45,TOSHIBA,‎Canvio Basics,1 TB,Portable,Laptop,External Hard Drive,https://www.amazon.com/Toshiba-Canvio-Basics-Portable-External/dp/B0BQX6DVWY/ref=sr_1_6?dib=eyJ2IjoiMSJ9.OtIs0-TwzvdNcHT81vPKh-Qf77lnWJXsrdU1bIuL0kKHcTDwkyCUqo9A8Bkw8uQuvmC0VHGQEwOEXrFyQ8O-ggOKVnBoDDeP6pdUikP5qSmQbxec5Eg9clzCngo3OUlVlPrgjlNOKRvHrr31zCEhdN8XwJYBGcZEzt6fJBS286eaZV_YI28Kkv8wDcC8WwoVSPjTLMYmNil707KYkUu9qkKoSu2sISLuLuO7QiseB5g.QuLxzRDVxz8N3n0FJpyqx4cQw03OvOgxMTHlNxPrTH4&dib_tag=se&keywords=hard+drive&qid=1755471126&sr=8-6
7,Amazon,monitor,‎B00IRV005E,"LaCie Rugged Mini 2TB External Hard Drive Portable HDD - USB 3.0/ 2.0 Compatible, Drop Shock Dust Rain Resistant Shuttle Drive, For Mac And PC Computer (LAC9000298), orange",99.99,LaCie,‎LaCie Rugged Mini,2 TB,Portable,Laptop,External Hard Drive,https://www.amazon.com/LaCie-Rugged-External-Portable-LAC9000298/dp/B00IRV005E/ref=sr_1_7?dib=eyJ2IjoiMSJ9.OtIs0-TwzvdNcHT81vPKh-Qf77lnWJXsrdU1bIuL0kKHcTDwkyCUqo9A8Bkw8uQuvmC0VHGQEwOEXrFyQ8O-ggOKVnBoDDeP6pdUikP5qSmQbxec5Eg9clzCngo3OUlVlPrgjlNOKRvHrr31zCEhdN8XwJYBGcZEzt6fJBS286eaZV_YI28Kkv8wDcC8WwoVSPjTLMYmNil707KYkUu9qkKoSu2sISLuLuO7QiseB5g.QuLxzRDVxz8N3n0FJpyqx4cQw03OvOgxMTHlNxPrTH4&dib_tag=se&keywords=hard+drive&qid=1755471126&sr=8-7
8,Amazon,monitor,‎B07VMQ9SZJ,"ACASIS 500GB USB3.0 2.5"" Portable External Hard Drive for Desktop Laptop HDD Hard Disk (500GB, Black)",25.22,ACASIS,,500 GB,,Desktop,Plug In,https://www.amazon.com/Acasis-USB3-0-Portable-External-Desktop/dp/B07VMQ9SZJ/ref=sr_1_8?dib=eyJ2IjoiMSJ9.OtIs0-TwzvdNcHT81vPKh-Qf77lnWJXsrdU1bIuL0kKHcTDwkyCUqo9A8Bkw8uQuvmC0VHGQEwOEXrFyQ8O-ggOKVnBoDDeP6pdUikP5qSmQbxec5Eg9clzCngo3OUlVlPrgjlNOKRvHrr31zCEhdN8XwJYBGcZEzt6fJBS286eaZV_YI28Kkv8wDcC8WwoVSPjTLMYmNil707KYkUu9qkKoSu2sISLuLuO7QiseB5g.QuLxzRDVxz8N3n0FJpyqx4cQw03OvOgxMTHlNxPrTH4&dib_tag=se&keywords=hard+drive&qid=1755471126&sr=8-8
9,Amazon,monitor,‎B07C812LHQ,"Maxone 1TB Ultra Slim Portable External Hard Drive HDD USB 3.0 Compatible with PC, Laptop, Charcoal Grey",47.28,Maxone,‎Ultra Slim,1 TB,"3 Years Warranty, Portable hard drive","Desktop, Laptop",External Hard Drive,https://www.amazon.com/1000GB-Portable-External-Desktop-Chromebook/dp/B07C812LHQ/ref=sr_1_9?dib=eyJ2IjoiMSJ9.OtIs0-TwzvdNcHT81vPKh-Qf77lnWJXsrdU1bIuL0kKHcTDwkyCUqo9A8Bkw8uQuvmC0VHGQEwOEXrFyQ8O-ggOKVnBoDDeP6pdUikP5qSmQbxec5Eg9clzCngo3OUlVlPrgjlNOKRvHrr31zCEhdN8XwJYBGcZEzt6fJBS286eaZV_YI28Kkv8wDcC8WwoVSPjTLMYmNil707KYkUu9qkKoSu2sISLuLuO7QiseB5g.QuLxzRDVxz8N3n0FJpyqx4cQw03OvOgxMTHlNxPrTH4&dib_tag=se&keywords=hard+drive&qid=1755471126&sr=8-9
10,Amazon,monitor,‎B07X46C64N,"WD 5TB My Passport Ultra, Blue, Portable External Hard Drive, backup software with defense against ransomware, and password protection, USB-C and USB 3.1 - WDBFTM0050BBL-WESN",139.99,WD,‎My Passport Ultra,5 TB,"Hardware Encryption, Portable",PC,External Hard Drive,https://www.amazon.com/WD-5Tb-My-Passport-Ultra-Portable-External-Drive/dp/B07X46C64N/ref=sr_1_10?dib=eyJ2IjoiMSJ9.OtIs0-TwzvdNcHT81vPKh-Qf77lnWJXsrdU1bIuL0kKHcTDwkyCUqo9A8Bkw8uQuvmC0VHGQEwOEXrFyQ8O-ggOKVnBoDDeP6pdUikP5qSmQbxec5Eg9clzCngo3OUlVlPrgjlNOKRvHrr31zCEhdN8XwJYBGcZEzt6fJBS286eaZV_YI28Kkv8wDcC8WwoVSPjTLMYmNil707KYkUu9qkKoSu2sISLuLuO7QiseB5g.QuLxzRDVxz8N3n0FJpyqx4cQw03OvOgxMTHlNxPrTH4&dib_tag=se&keywords=hard+drive&qid=1755471126&sr=8-10
