id,website,category,asin,title,price,brand,model_name,hard_drive,ram,screen_resolution,color,link
1,Amazon,laptop,B0B9WTWLQV,"Dell 15.6"" Laptop Computer for Home and Student, Intel 6-Core Processor (Beat i5-1135G7), 32GB DDR4 RAM, 1TB PCIe SSD, Business 3520 120Hz FHD, WiFi, Bluetooth, RJ45, HDMI, Windows 11 Pro",529.0,Dell,Vostro,‎1 TB SSD,‎32 GB DDR4,‎1920 x 1080 Pixels,‎Black,https://www.amazon.com/Dell-Processor-i5-1135G7-3520-Bluetooth/dp/B0B9WTWLQV/ref=sr_1_2?dib=eyJ2IjoiMSJ9.EomZ06RKciUcnuPnggZI-vVHFuZ1-ZbbJcpSY0054WdMhblfAjt58lb92ljqadakVUspwspKfsTHDIVQeapHlQkyBtHFd4Lbxg2wjtUDaYK4oboRHFqamS3nSOnHLOwfRHHkcUnfVa7WuidLdlBFPh6L1v8OEAa5s-8iEK6JajWaBJn-FrwPsOe6T7QZzOvOYLuIrjH1IYppMB4cG1mvUAjOQgk0QydKF4rTWaSsYHs.p-hjwKiBEvpXNYfmCq4hAPkfpgCNk0jghJRNVfwIbqM&dib_tag=se&keywords=laptop&qid=1750720056&sr=8-2
2,Amazon,laptop,‎B0DZD9S5GC,"Apple 2025 MacBook Air 13-inch Laptop with M4 chip: Built for Apple Intelligence, 13.6-inch Liquid Retina Display, 16GB Unified Memory, 256GB SSD Storage, 12MP Center Stage Camera, Touch ID; Midnight",899.0,Apple,MacBook Air,,,,,https://www.amazon.com/Apple-2025-MacBook-13-inch-Laptop/dp/B0DZD9S5GC/ref=sr_1_1?dib=eyJ2IjoiMSJ9.EomZ06RKciUcnuPnggZI-vVHFuZ1-ZbbJcpSY0054WdMhblfAjt58lb92ljqadakVUspwspKfsTHDIVQeapHlQkyBtHFd4Lbxg2wjtUDaYK4oboRHFqamS3nSOnHLOwfRHHkcUnfVa7WuidLdlBFPh6L1v8OEAa5s-8iEK6JajWaBJn-FrwPsOe6T7QZzOvOYLuIrjH1IYppMB4cG1mvUAjOQgk0QydKF4rTWaSsYHs.p-hjwKiBEvpXNYfmCq4hAPkfpgCNk0jghJRNVfwIbqM&dib_tag=se&keywords=laptop&qid=1750720056&sr=8-1
3,Amazon,laptop,B06XK8JXVX,"Dell 15 3530 Laptop - Business & Home Student Laptop Computer, Intel 10-Core i5-1334U (Beat i7-1250U), 120Hz FHD Vostro Laptop, WiFi, Bluetooth, Windows 11 Pro (32GB RAM | 1TB PCIe SSD), AZ-XUT",649.99,Dell,Vostro,‎1 TB SSD,‎4 GB DDR4,‎1920 x 1080 Pixels,,https://www.amazon.com/Dell-15-3530-Laptop-Bluetooth/dp/B06XK8JXVX/ref=sr_1_3?dib=eyJ2IjoiMSJ9.EomZ06RKciUcnuPnggZI-vVHFuZ1-ZbbJcpSY0054WdMhblfAjt58lb92ljqadakVUspwspKfsTHDIVQeapHlQkyBtHFd4Lbxg2wjtUDaYK4oboRHFqamS3nSOnHLOwfRHHkcUnfVa7WuidLdlBFPh6L1v8OEAa5s-8iEK6JajWaBJn-FrwPsOe6T7QZzOvOYLuIrjH1IYppMB4cG1mvUAjOQgk0QydKF4rTWaSsYHs.p-hjwKiBEvpXNYfmCq4hAPkfpgCNk0jghJRNVfwIbqM&dib_tag=se&keywords=laptop&qid=1750720056&sr=8-3
4,Amazon,laptop,B0947BJ67M,"HP 14 Laptop, Intel Celeron N4020, 4 GB RAM, 64 GB Storage, 14-inch Micro-edge HD Display, Windows 11 Home, Thin & Portable, 4K Graphics, One Year of Microsoft 365 (14-dq0040nr, Snowflake White)",179.95,HP,14-dq0040nr,‎64 GB Emmc,‎4 GB DDR4,‎1366 x 768 pixels,‎Snowflake White,https://www.amazon.com/HP-Micro-edge-Microsoft-14-dq0040nr-Snowflake/dp/B0947BJ67M/ref=sr_1_4?dib=eyJ2IjoiMSJ9.EomZ06RKciUcnuPnggZI-vVHFuZ1-ZbbJcpSY0054WdMhblfAjt58lb92ljqadakVUspwspKfsTHDIVQeapHlQkyBtHFd4Lbxg2wjtUDaYK4oboRHFqamS3nSOnHLOwfRHHkcUnfVa7WuidLdlBFPh6L1v8OEAa5s-8iEK6JajWaBJn-FrwPsOe6T7QZzOvOYLuIrjH1IYppMB4cG1mvUAjOQgk0QydKF4rTWaSsYHs.p-hjwKiBEvpXNYfmCq4hAPkfpgCNk0jghJRNVfwIbqM&dib_tag=se&keywords=laptop&qid=1750720056&sr=8-4
5,Amazon,laptop,B0CRDCXRK2,"ASUS ROG Strix G16 Gaming Laptop, 165Hz Display, NVIDIA® GeForce RTX™ 4060, Intel Core i7-13650HX, 16GB DDR5, 1TB PCIe Gen4 SSD, Wi-Fi 6E, Windows 11, G614JV-AS74",1369.99,ASUS,Strix G16,‎1 TB SSD,‎16 GB DDR5,‎1920 x 1200 pixels,‎Eclipse Gray,https://www.amazon.com/ASUS-Display-NVIDIA%C2%AE-i7-13650HX-G614JV-AS74/dp/B0CRDCXRK2/ref=sr_1_5?dib=eyJ2IjoiMSJ9.EomZ06RKciUcnuPnggZI-vVHFuZ1-ZbbJcpSY0054WdMhblfAjt58lb92ljqadakVUspwspKfsTHDIVQeapHlQkyBtHFd4Lbxg2wjtUDaYK4oboRHFqamS3nSOnHLOwfRHHkcUnfVa7WuidLdlBFPh6L1v8OEAa5s-8iEK6JajWaBJn-FrwPsOe6T7QZzOvOYLuIrjH1IYppMB4cG1mvUAjOQgk0QydKF4rTWaSsYHs.p-hjwKiBEvpXNYfmCq4hAPkfpgCNk0jghJRNVfwIbqM&dib_tag=se&keywords=laptop&qid=1750720056&sr=8-5
6,Amazon,laptop,B0F8BNHFQ5,"VGKE 15.6"" Laptop Computer, 1920 * 1080p Laptop with Full Size Backlit Keyboard, Celeron N5095 Processor Quad-Core, 12GB RAM DDR4, 256GB SSD, Fingerprint Reader, Silver-Grey",199.99,VGKE,C15,‎256 GB SSD,‎LPDDR4,‎1920 x 1080 pixels,‎Silver-grey,https://www.amazon.com/VGKE-N5095-Processor-Fingerprint-Silver-Grey/dp/B0F8BNHFQ5/ref=sr_1_6?dib=eyJ2IjoiMSJ9.EomZ06RKciUcnuPnggZI-vVHFuZ1-ZbbJcpSY0054WdMhblfAjt58lb92ljqadakVUspwspKfsTHDIVQeapHlQkyBtHFd4Lbxg2wjtUDaYK4oboRHFqamS3nSOnHLOwfRHHkcUnfVa7WuidLdlBFPh6L1v8OEAa5s-8iEK6JajWaBJn-FrwPsOe6T7QZzOvOYLuIrjH1IYppMB4cG1mvUAjOQgk0QydKF4rTWaSsYHs.p-hjwKiBEvpXNYfmCq4hAPkfpgCNk0jghJRNVfwIbqM&dib_tag=se&keywords=laptop&qid=1750720056&sr=8-6
7,Amazon,laptop,B0F8BNXYF5,"jumper 16 Inch Laptop Computer, 16GB RAM 1TB SSD 128GB ROM, N150 4-Core 3.6GHz Processor, 1200p IPS FHD Display, Office 365 1-Year Subscription, WiFi-6, Mini-HDMI, 38Wh Battery, Cooling System.",399.99,jumper,EZbook S7MAX,‎1152 GB SSD,‎16 GB DDR4,‎1920 x 1200 pixels,‎Gray,https://www.amazon.com/jumper-Computer-Processor-Subscription-Mini-HDMI/dp/B0F8BNXYF5/ref=sr_1_7?dib=eyJ2IjoiMSJ9.EomZ06RKciUcnuPnggZI-vVHFuZ1-ZbbJcpSY0054WdMhblfAjt58lb92ljqadakVUspwspKfsTHDIVQeapHlQkyBtHFd4Lbxg2wjtUDaYK4oboRHFqamS3nSOnHLOwfRHHkcUnfVa7WuidLdlBFPh6L1v8OEAa5s-8iEK6JajWaBJn-FrwPsOe6T7QZzOvOYLuIrjH1IYppMB4cG1mvUAjOQgk0QydKF4rTWaSsYHs.p-hjwKiBEvpXNYfmCq4hAPkfpgCNk0jghJRNVfwIbqM&dib_tag=se&keywords=laptop&qid=1750720056&sr=8-7
8,Amazon,laptop,B09VZR2BGN,"HP 14"" HD Laptop, Windows 11, Intel Celeron Dual-Core Processor Up to 2.60GHz, 4GB RAM, 64GB SSD, Webcam, Dale Blue (Renewed)",165.4,HP,HP 14inch Laptop,‎64 GB SSD,‎4 GB DDR4,‎1366 x 768 pixels,‎Dale Blue,https://www.amazon.com/HP-14-Laptop-Dual-Core-Processor/dp/B09VZR2BGN/ref=sr_1_8?dib=eyJ2IjoiMSJ9.EomZ06RKciUcnuPnggZI-vVHFuZ1-ZbbJcpSY0054WdMhblfAjt58lb92ljqadakVUspwspKfsTHDIVQeapHlQkyBtHFd4Lbxg2wjtUDaYK4oboRHFqamS3nSOnHLOwfRHHkcUnfVa7WuidLdlBFPh6L1v8OEAa5s-8iEK6JajWaBJn-FrwPsOe6T7QZzOvOYLuIrjH1IYppMB4cG1mvUAjOQgk0QydKF4rTWaSsYHs.p-hjwKiBEvpXNYfmCq4hAPkfpgCNk0jghJRNVfwIbqM&dib_tag=se&keywords=laptop&qid=1750720056&sr=8-8
9,Amazon,laptop,B0F8VBGW4C,"HP 2025 New Student Business Laptop, Intel N150 CPU(Beats N4120), 14 Inch LED, 16GB RAM, 384GB Storage(128GB UFS+256GB MSD), Wi-Fi 6, Copilot AI, Office Pro Lifetime, Windows 11 Pro, Sky Blue, w/Mouse",379.99,HP,HP 14 Inch Laptop,‎128 GB Emmc,‎DDR4,‎1366 x 768 pixels,‎Sky Blue,https://www.amazon.com/HP-Business-Laptop-14-Inch/dp/B0F8VBGW4C/ref=sr_1_9?dib=eyJ2IjoiMSJ9.EomZ06RKciUcnuPnggZI-vVHFuZ1-ZbbJcpSY0054WdMhblfAjt58lb92ljqadakVUspwspKfsTHDIVQeapHlQkyBtHFd4Lbxg2wjtUDaYK4oboRHFqamS3nSOnHLOwfRHHkcUnfVa7WuidLdlBFPh6L1v8OEAa5s-8iEK6JajWaBJn-FrwPsOe6T7QZzOvOYLuIrjH1IYppMB4cG1mvUAjOQgk0QydKF4rTWaSsYHs.p-hjwKiBEvpXNYfmCq4hAPkfpgCNk0jghJRNVfwIbqM&dib_tag=se&keywords=laptop&qid=1750720056&sr=8-9
10,Amazon,laptop,B09SVSBVP1,"HP Chromebook 14 Laptop, Intel Celeron N4120, 4 GB RAM, 64 GB eMMC, 14"" HD Display, Chrome OS, Thin Design, 4K Graphics, Long Battery Life, Ash Gray Keyboard (14a-na0226nr, 2022, Mineral Silver)",175.93,HP,Chromebook 14a-na0226nr,‎64 GB SSD,‎4 GB DDR4,‎1366 x 768,‎Mineral Silver,https://www.amazon.com/HP-Chromebook-Graphics-Keyboard-14a-na0226nr/dp/B09SVSBVP1/ref=sr_1_10?dib=eyJ2IjoiMSJ9.EomZ06RKciUcnuPnggZI-vVHFuZ1-ZbbJcpSY0054WdMhblfAjt58lb92ljqadakVUspwspKfsTHDIVQeapHlQkyBtHFd4Lbxg2wjtUDaYK4oboRHFqamS3nSOnHLOwfRHHkcUnfVa7WuidLdlBFPh6L1v8OEAa5s-8iEK6JajWaBJn-FrwPsOe6T7QZzOvOYLuIrjH1IYppMB4cG1mvUAjOQgk0QydKF4rTWaSsYHs.p-hjwKiBEvpXNYfmCq4hAPkfpgCNk0jghJRNVfwIbqM&dib_tag=se&keywords=laptop&qid=1750720056&sr=8-10
