id,website,category,asin,title,price,brand,series,storage,special_feature,compatible_devices,type,link
1,Amazon,monitor,‎B091FS79T8,"UnionSine 500GB 2.5"" Ultra Slim Portable External Hard Drive HDD-USB 3.0 for PC, Mac, Laptop, PS4, Xbox one,Xbox 360-HD-2510(Black)",28.28,UnionSine,‎HD2510,500 GB,"3 Years Warranty, portable hard drive","PS4, Laptop, Desktop, xbox",External Hard Drive,https://www.amazon.com/UnionSine-Portable-External-Storage-Compatible/dp/B091FS79T8/ref=sr_1_2?dib=eyJ2IjoiMSJ9.jprNTO74Z9Ia9VVTI3w5Dmt2gCygD6x90hAliODxzS4hgReY8t_MEhrblSCRZTzHhyXb-KVMg8yxpR5dAZopiMssrJo6kYCsDh54IQnuUKRGjvUG6KihEb8VgaoBp8u5kD7-7qYKeEItdWzUPe854fPt25OLSIy7VXLQ_AYyH0bFCUbsq-oF0fXjZmltQHVm48ueh9YaRMYv8qg-9mholR_I67R1jm7RtGEppGbZ7FY.1FkCZE9IyVwEmOViYjPqqDHvdzdmJv7fUNVLfmiijTU&dib_tag=se&keywords=hard+drive&qid=1741906296&sr=8-2
2,Amazon,monitor,‎B07CRG94G3,"Seagate Portable 2TB External Hard Drive HDD — USB 3.0 for PC, Mac, PlayStation, & Xbox -1-Year Rescue Service (STGX2000400)",69.99,Seagate,‎Basic Portable Drive,2 TB,Portable,"Laptop, Desktop",Plug In,https://www.amazon.com/Seagate-Portable-External-Hard-Drive/dp/B07CRG94G3/ref=sr_1_1?dib=eyJ2IjoiMSJ9.jprNTO74Z9Ia9VVTI3w5Dmt2gCygD6x90hAliODxzS4hgReY8t_MEhrblSCRZTzHhyXb-KVMg8yxpR5dAZopiMssrJo6kYCsDh54IQnuUKRGjvUG6KihEb8VgaoBp8u5kD7-7qYKeEItdWzUPe854fPt25OLSIy7VXLQ_AYyH0bFCUbsq-oF0fXjZmltQHVm48ueh9YaRMYv8qg-9mholR_I67R1jm7RtGEppGbZ7FY.1FkCZE9IyVwEmOViYjPqqDHvdzdmJv7fUNVLfmiijTU&dib_tag=se&keywords=hard+drive&qid=1741906296&sr=8-1
3,Amazon,monitor,‎B07C812LHQ,"Maxone 1TB Ultra Slim Portable External Hard Drive HDD USB 3.0 Compatible with PC, Laptop, Charcoal Grey",47.49,Maxone,‎Ultra Slim,1 TB,"3 Years Warranty, Portable hard drive","Laptop, Desktop",External Hard Drive,https://www.amazon.com/1000GB-Portable-External-Desktop-Chromebook/dp/B07C812LHQ/ref=sr_1_3?dib=eyJ2IjoiMSJ9.jprNTO74Z9Ia9VVTI3w5Dmt2gCygD6x90hAliODxzS4hgReY8t_MEhrblSCRZTzHhyXb-KVMg8yxpR5dAZopiMssrJo6kYCsDh54IQnuUKRGjvUG6KihEb8VgaoBp8u5kD7-7qYKeEItdWzUPe854fPt25OLSIy7VXLQ_AYyH0bFCUbsq-oF0fXjZmltQHVm48ueh9YaRMYv8qg-9mholR_I67R1jm7RtGEppGbZ7FY.1FkCZE9IyVwEmOViYjPqqDHvdzdmJv7fUNVLfmiijTU&dib_tag=se&keywords=hard+drive&qid=1741906296&sr=8-3
4,Amazon,monitor,B0874XN4D8,"SAMSUNG T7 Portable SSD, 1TB External Solid State Drive, Speeds Up to 1,050MB/s, USB 3.2 Gen 2, Reliable Storage for Gaming, Students, Professionals, MU-PC1T0T/AM, Gray",89.63,SAMSUNG,,1 TB,,"PC, Gaming Console, Tablet, Smartphone, Mac",External Hard Drive,https://www.amazon.com/SAMSUNG-Portable-SSD-1TB-MU-PC1T0T/dp/B0874XN4D8/ref=sr_1_4?dib=eyJ2IjoiMSJ9.jprNTO74Z9Ia9VVTI3w5Dmt2gCygD6x90hAliODxzS4hgReY8t_MEhrblSCRZTzHhyXb-KVMg8yxpR5dAZopiMssrJo6kYCsDh54IQnuUKRGjvUG6KihEb8VgaoBp8u5kD7-7qYKeEItdWzUPe854fPt25OLSIy7VXLQ_AYyH0bFCUbsq-oF0fXjZmltQHVm48ueh9YaRMYv8qg-9mholR_I67R1jm7RtGEppGbZ7FY.1FkCZE9IyVwEmOViYjPqqDHvdzdmJv7fUNVLfmiijTU&dib_tag=se&keywords=hard+drive&qid=1741906296&sr=8-4
5,Amazon,monitor,‎B00IRV005E,"LaCie Rugged Mini 2TB External Hard Drive Portable HDD - USB 3.0/ 2.0 Compatible, Drop Shock Dust Rain Resistant Shuttle Drive, For Mac And PC Computer (LAC9000298), orange",90.6,LaCie,‎LaCie Rugged Mini,2 TB,Portable,Laptop,External Hard Drive,https://www.amazon.com/LaCie-Rugged-External-Portable-LAC9000298/dp/B00IRV005E/ref=sr_1_5?dib=eyJ2IjoiMSJ9.jprNTO74Z9Ia9VVTI3w5Dmt2gCygD6x90hAliODxzS4hgReY8t_MEhrblSCRZTzHhyXb-KVMg8yxpR5dAZopiMssrJo6kYCsDh54IQnuUKRGjvUG6KihEb8VgaoBp8u5kD7-7qYKeEItdWzUPe854fPt25OLSIy7VXLQ_AYyH0bFCUbsq-oF0fXjZmltQHVm48ueh9YaRMYv8qg-9mholR_I67R1jm7RtGEppGbZ7FY.1FkCZE9IyVwEmOViYjPqqDHvdzdmJv7fUNVLfmiijTU&dib_tag=se&keywords=hard+drive&qid=1741906296&sr=8-5
6,Amazon,monitor,‎B0BQX6NNVC,"Toshiba Canvio Basics 2TB Portable External Hard Drive USB 3.0, Black - HDTB520XK3AA",71.99,TOSHIBA,‎Canvio Basics,2 TB,Portable,"Laptop, Desktop",External Hard Drive,https://www.amazon.com/Toshiba-Canvio-Basics-Portable-External/dp/B0BQX6NNVC/ref=sr_1_6?dib=eyJ2IjoiMSJ9.jprNTO74Z9Ia9VVTI3w5Dmt2gCygD6x90hAliODxzS4hgReY8t_MEhrblSCRZTzHhyXb-KVMg8yxpR5dAZopiMssrJo6kYCsDh54IQnuUKRGjvUG6KihEb8VgaoBp8u5kD7-7qYKeEItdWzUPe854fPt25OLSIy7VXLQ_AYyH0bFCUbsq-oF0fXjZmltQHVm48ueh9YaRMYv8qg-9mholR_I67R1jm7RtGEppGbZ7FY.1FkCZE9IyVwEmOViYjPqqDHvdzdmJv7fUNVLfmiijTU&dib_tag=se&keywords=hard+drive&qid=1741906296&sr=8-6
7,Amazon,monitor,‎B0BGL4SHY8,"SSK Portable SSD 1TB External Solid State Drives, up to 1050MB/s USB C SSD External Hard Drive USB 3.2 Gen2 for iPhone 15/Pro, Windows, Mac, Android Phones and Tablets",67.49,SSK,‎SD500,1 TB,"Portable, Backward Compatible, 1050 MB/s, LED Light","Laptop, Tablet, Smartphone",External Hard Drive,https://www.amazon.com/SSK-Portable-External-Transmission-Smartphone/dp/B0BGL4SHY8/ref=sr_1_7?dib=eyJ2IjoiMSJ9.jprNTO74Z9Ia9VVTI3w5Dmt2gCygD6x90hAliODxzS4hgReY8t_MEhrblSCRZTzHhyXb-KVMg8yxpR5dAZopiMssrJo6kYCsDh54IQnuUKRGjvUG6KihEb8VgaoBp8u5kD7-7qYKeEItdWzUPe854fPt25OLSIy7VXLQ_AYyH0bFCUbsq-oF0fXjZmltQHVm48ueh9YaRMYv8qg-9mholR_I67R1jm7RtGEppGbZ7FY.1FkCZE9IyVwEmOViYjPqqDHvdzdmJv7fUNVLfmiijTU&dib_tag=se&keywords=hard+drive&qid=1741906296&sr=8-7
8,Amazon,monitor,‎B08RX3343D,"SanDisk 4TB Extreme PRO Portable SSD - Up to 2000MB/s - USB-C, USB 3.2 Gen 2x2, IP65 Water and Dust Resistance, Updated Firmware - External Solid State Drive - SDSSDE81-4T00-G25",289.99,SanDisk,‎SanDisk Extreme PRO Portable SSD,4 TB,"Hardware Encryption,Portable","Laptop, Desktop, Tablet, Smartphone",External Hard Drive,https://www.amazon.com/SanDisk-4TB-Extreme-Portable-SDSSDE81-4T00-G25/dp/B08RX3343D/ref=sr_1_8?dib=eyJ2IjoiMSJ9.jprNTO74Z9Ia9VVTI3w5Dmt2gCygD6x90hAliODxzS4hgReY8t_MEhrblSCRZTzHhyXb-KVMg8yxpR5dAZopiMssrJo6kYCsDh54IQnuUKRGjvUG6KihEb8VgaoBp8u5kD7-7qYKeEItdWzUPe854fPt25OLSIy7VXLQ_AYyH0bFCUbsq-oF0fXjZmltQHVm48ueh9YaRMYv8qg-9mholR_I67R1jm7RtGEppGbZ7FY.1FkCZE9IyVwEmOViYjPqqDHvdzdmJv7fUNVLfmiijTU&dib_tag=se&keywords=hard+drive&qid=1741906296&sr=8-8
9,Amazon,monitor,‎B08JKGHHHQ,"Toshiba Canvio Advance 2TB Portable External Hard Drive USB 3.0, Green - HDTCA20XG3AA",74.49,TOSHIBA,‎Canvio Advance,2 TB,Portable,"PC, Mac (reformatting required)",External Hard Drive,https://www.amazon.com/Toshiba-Canvio-Advance-Portable-External/dp/B08JKGHHHQ/ref=sr_1_9?dib=eyJ2IjoiMSJ9.jprNTO74Z9Ia9VVTI3w5Dmt2gCygD6x90hAliODxzS4hgReY8t_MEhrblSCRZTzHhyXb-KVMg8yxpR5dAZopiMssrJo6kYCsDh54IQnuUKRGjvUG6KihEb8VgaoBp8u5kD7-7qYKeEItdWzUPe854fPt25OLSIy7VXLQ_AYyH0bFCUbsq-oF0fXjZmltQHVm48ueh9YaRMYv8qg-9mholR_I67R1jm7RtGEppGbZ7FY.1FkCZE9IyVwEmOViYjPqqDHvdzdmJv7fUNVLfmiijTU&dib_tag=se&keywords=hard+drive&qid=1741906296&sr=8-9
10,Amazon,monitor,‎B09NP4Y2JC,"Western Digital Ultrastar DC HC550 18TB 7200RPM 3.5"" SATA Hard Drive WUH721818ALE6L4 (Renewed)",229.99,Western Digital,‎WUH721818ALE6L4,18000 GB,Portable,Desktop,Internal Hard Drive,https://www.amazon.com/Western-Digital-Ultrastar-7200RPM-WUH721818ALE6L4/dp/B09NP4Y2JC/ref=sr_1_10?dib=eyJ2IjoiMSJ9.jprNTO74Z9Ia9VVTI3w5Dmt2gCygD6x90hAliODxzS4hgReY8t_MEhrblSCRZTzHhyXb-KVMg8yxpR5dAZopiMssrJo6kYCsDh54IQnuUKRGjvUG6KihEb8VgaoBp8u5kD7-7qYKeEItdWzUPe854fPt25OLSIy7VXLQ_AYyH0bFCUbsq-oF0fXjZmltQHVm48ueh9YaRMYv8qg-9mholR_I67R1jm7RtGEppGbZ7FY.1FkCZE9IyVwEmOViYjPqqDHvdzdmJv7fUNVLfmiijTU&dib_tag=se&keywords=hard+drive&qid=1741906296&sr=8-10
