id,website,category,asin,title,price,brand,series,storage,special_feature,compatible_devices,type,link
11,Amazon,monitor,‎B07X41PWTY,"WD 5TB Elements Portable External Hard Drive for Windows, USB 3.2 Gen 1/USB 3.0 for PC & Mac, Plug and Play Ready - WDBU6Y0050BBK-WESN",134.99,Western Digital,‎Elements Desktop,5 TB,Portable,"Desktop, Laptop, Tablet",External Hard Drive,https://www.amazon.com/Elements-Portable-External-Drive-WDBU6Y0050BBK-WESN/dp/B07X41PWTY/ref=sr_1_15?dib=eyJ2IjoiMSJ9.EoJi2KGtyKkHzukpwyJrsjnHRGSuro7hg0szIy9lzips0dXo25U4gjNtPhqdYx7tNeB8iL17MoDBvJqi5B_ongFJDHuuAk7-ev-kdWP4r3KcS3opB6z1IouV30P5hHY6fV2Nc-39qUeqFP1iNHlW6oEXuXQnK71usFxlv6eNhy1XRIyypf8sp7V1szg703QSy0WAQoaAj2sBD2_ZihEF0umWb8CD0e6xY8-wD7YxJLs.ycY5Gj9vXlnkfhRHiiE0596KOUAoGHhqE8EL0yW7tKY&dib_tag=se&keywords=hard+drive&qid=1762901509&sr=8-15
12,Amazon,monitor,B0874XN4D8,"SAMSUNG T7 Portable SSD, 1TB External Solid State Drive, Speeds Up to 1,050MB/s, USB 3.2 Gen 2, Reliable Storage for Gaming, Students, Professionals, MU-PC1T0T/AM, Gray",109.99,Samsung,,1 TB,,"Gaming Console, Mac, PC, Smartphone, Tablet",External Hard Drive,https://www.amazon.com/SAMSUNG-Portable-SSD-1TB-MU-PC1T0T/dp/B0874XN4D8/ref=sr_1_16?dib=eyJ2IjoiMSJ9.EoJi2KGtyKkHzukpwyJrsjnHRGSuro7hg0szIy9lzips0dXo25U4gjNtPhqdYx7tNeB8iL17MoDBvJqi5B_ongFJDHuuAk7-ev-kdWP4r3KcS3opB6z1IouV30P5hHY6fV2Nc-39qUeqFP1iNHlW6oEXuXQnK71usFxlv6eNhy1XRIyypf8sp7V1szg703QSy0WAQoaAj2sBD2_ZihEF0umWb8CD0e6xY8-wD7YxJLs.ycY5Gj9vXlnkfhRHiiE0596KOUAoGHhqE8EL0yW7tKY&dib_tag=se&keywords=hard+drive&qid=1762901509&sr=8-16
13,Amazon,monitor,‎B0B61DGG18,"Amazon Basics 256 GB Ultra Fast USB 3.1 High Capacity Flash Drive for Data Transfer and Storage, Black",19.99,Amazon Basics,,,Lightweight,,,https://www.amazon.com/Amazon-Basics-256GB-Ultra-Flash/dp/B0B61DGG18/ref=sr_1_18?dib=eyJ2IjoiMSJ9.EoJi2KGtyKkHzukpwyJrsjnHRGSuro7hg0szIy9lzips0dXo25U4gjNtPhqdYx7tNeB8iL17MoDBvJqi5B_ongFJDHuuAk7-ev-kdWP4r3KcS3opB6z1IouV30P5hHY6fV2Nc-39qUeqFP1iNHlW6oEXuXQnK71usFxlv6eNhy1XRIyypf8sp7V1szg703QSy0WAQoaAj2sBD2_ZihEF0umWb8CD0e6xY8-wD7YxJLs.ycY5Gj9vXlnkfhRHiiE0596KOUAoGHhqE8EL0yW7tKY&dib_tag=se&keywords=hard+drive&qid=1762901509&sr=8-18
14,Amazon,monitor,‎B09VLHR4JC,"SAMSUNG T7 Shield 2TB, Portable SSD, up-to 1050MB/s, USB 3.2 Gen2, Rugged,IP65 Water & Dust Resistant, for Photographers, Content Creators and Gaming, Extenal Solid State Drive (MU-PE2T0S/AM), Black",229.99,Samsung,‎T7 shield SSD,2 TB,"Hardware Encryption, Portable","Gaming Console, Mac, PC, Tablet, iPhone 15/16",External Hard Drive,https://www.amazon.com/SAMSUNG-Resistant-Photographers-MU-PE2T0S-AM/dp/B09VLHR4JC/ref=sr_1_19?dib=eyJ2IjoiMSJ9.EoJi2KGtyKkHzukpwyJrsjnHRGSuro7hg0szIy9lzips0dXo25U4gjNtPhqdYx7tNeB8iL17MoDBvJqi5B_ongFJDHuuAk7-ev-kdWP4r3KcS3opB6z1IouV30P5hHY6fV2Nc-39qUeqFP1iNHlW6oEXuXQnK71usFxlv6eNhy1XRIyypf8sp7V1szg703QSy0WAQoaAj2sBD2_ZihEF0umWb8CD0e6xY8-wD7YxJLs.ycY5Gj9vXlnkfhRHiiE0596KOUAoGHhqE8EL0yW7tKY&dib_tag=se&keywords=hard+drive&qid=1762901509&sr=8-19
15,Amazon,monitor,‎B0F4R3YCL6,"Western Digital 10TB WD Red Plus NAS Internal Hard Drive HDD - 7200 RPM, SATA 6 GB/s, CMR, 512 MB Cache, 3.5"" - WD100EFGX",219.99,Western Digital,‎WD Red Plus,10 TB,Dust Resistant,Desktop,Internal Hard Drive,https://www.amazon.com/Western-Digital-10TB-Internal-Drive/dp/B0F4R3YCL6/ref=sr_1_20?dib=eyJ2IjoiMSJ9.EoJi2KGtyKkHzukpwyJrsjnHRGSuro7hg0szIy9lzips0dXo25U4gjNtPhqdYx7tNeB8iL17MoDBvJqi5B_ongFJDHuuAk7-ev-kdWP4r3KcS3opB6z1IouV30P5hHY6fV2Nc-39qUeqFP1iNHlW6oEXuXQnK71usFxlv6eNhy1XRIyypf8sp7V1szg703QSy0WAQoaAj2sBD2_ZihEF0umWb8CD0e6xY8-wD7YxJLs.ycY5Gj9vXlnkfhRHiiE0596KOUAoGHhqE8EL0yW7tKY&dib_tag=se&keywords=hard+drive&qid=1762901509&sr=8-20
16,Amazon,monitor,‎B08RX3343D,"SanDisk 4TB Extreme PRO Portable SSD - Up to 2000MB/s - USB-C, USB 3.2 Gen 2x2, IP65 Water and Dust Resistance, Updated Firmware - External Solid State Drive - SDSSDE81-4T00-G25",322.64,SanDisk,‎SanDisk Extreme PRO Portable SSD,4 TB,"Hardware Encryption,Portable","Desktop, Laptop, Smartphone, Tablet",External Hard Drive,https://www.amazon.com/SanDisk-4TB-Extreme-Portable-SDSSDE81-4T00-G25/dp/B08RX3343D/ref=sr_1_21?dib=eyJ2IjoiMSJ9.EoJi2KGtyKkHzukpwyJrsjnHRGSuro7hg0szIy9lzips0dXo25U4gjNtPhqdYx7tNeB8iL17MoDBvJqi5B_ongFJDHuuAk7-ev-kdWP4r3KcS3opB6z1IouV30P5hHY6fV2Nc-39qUeqFP1iNHlW6oEXuXQnK71usFxlv6eNhy1XRIyypf8sp7V1szg703QSy0WAQoaAj2sBD2_ZihEF0umWb8CD0e6xY8-wD7YxJLs.ycY5Gj9vXlnkfhRHiiE0596KOUAoGHhqE8EL0yW7tKY&dib_tag=se&keywords=hard+drive&qid=1762901509&sr=8-21
17,Amazon,monitor,‎B0BQX6DVWY,"Toshiba Canvio Basics 1TB Portable External Hard Drive USB 3.0, Black - HDTB510XK3AA",58.94,TOSHIBA,‎Canvio Basics,1 TB,Portable,Laptop,External Hard Drive,https://www.amazon.com/Toshiba-Canvio-Basics-Portable-External/dp/B0BQX6DVWY/ref=sr_1_19?dib=eyJ2IjoiMSJ9.9QIeyIXm8pEU5GzIE2NfdN1exBUCkonASeKvUuPuW2arn4bmQE7xmUNA-Uh6aaYq-h-OE9kAt8KAaS3TtqN7XAFV2M8TO8BNGCPcDghslkeuWUuWC8wNVGyOQztbyWZQmKrc8GBtC9_wxLEztn9ppOOzi_6FIi1N0X1cOs7Ixj5Nuapf2l4ubBLJg5zbh-KsAmh7eWaAp9wNx5ddLwWog8h0DVndVR1HxEIfDZsoLQE.g4LK_ATEGrrJiJ8GS2vCjekq5I07U-4ogQieb4uCZNY&dib_tag=se&keywords=hard+drive&qid=1762901514&sr=8-19
18,Amazon,monitor,‎B0C9YLX21T,"SanDisk Professional 5TB G-Drive ArmorATD - Rugged, Durable Portable External Hard Drive HDD, USB-C, USB 3.2 Gen 1 - SDPH81G-005T-GBA1D",159.99,SanDisk Professional,‎SDPH81G-005T-GBA1D,5 TB,"Durable, Portable",Desktop,External Hard Drive,https://www.amazon.com/SanDisk-Professional-G-Drive-ArmorATD-SDPH81G-005T-GBA1D/dp/B0C9YLX21T/ref=sr_1_20?dib=eyJ2IjoiMSJ9.9QIeyIXm8pEU5GzIE2NfdN1exBUCkonASeKvUuPuW2arn4bmQE7xmUNA-Uh6aaYq-h-OE9kAt8KAaS3TtqN7XAFV2M8TO8BNGCPcDghslkeuWUuWC8wNVGyOQztbyWZQmKrc8GBtC9_wxLEztn9ppOOzi_6FIi1N0X1cOs7Ixj5Nuapf2l4ubBLJg5zbh-KsAmh7eWaAp9wNx5ddLwWog8h0DVndVR1HxEIfDZsoLQE.g4LK_ATEGrrJiJ8GS2vCjekq5I07U-4ogQieb4uCZNY&dib_tag=se&keywords=hard+drive&qid=1762901514&sr=8-20
19,Amazon,monitor,‎B07H4ZRG94,HGST Ultrastar He10 10TB SATA 6Gb/s 7200 RPM 256MB Cache 3.5-Inch Enterprise Hard Drive (HUH721010ALE604) (Renewed),149.99,HGST,‎Ultrastar,10000 GB,Power Disable Feature,"NAS, Desktop PC, Server RAID",Internal Hard Drive,https://www.amazon.com/HGST-Ultrastar-HUH721010ALE604-Enterprise-Refurbished/dp/B07H4ZRG94/ref=sr_1_21?dib=eyJ2IjoiMSJ9.9QIeyIXm8pEU5GzIE2NfdN1exBUCkonASeKvUuPuW2arn4bmQE7xmUNA-Uh6aaYq-h-OE9kAt8KAaS3TtqN7XAFV2M8TO8BNGCPcDghslkeuWUuWC8wNVGyOQztbyWZQmKrc8GBtC9_wxLEztn9ppOOzi_6FIi1N0X1cOs7Ixj5Nuapf2l4ubBLJg5zbh-KsAmh7eWaAp9wNx5ddLwWog8h0DVndVR1HxEIfDZsoLQE.g4LK_ATEGrrJiJ8GS2vCjekq5I07U-4ogQieb4uCZNY&dib_tag=se&keywords=hard+drive&qid=1762901514&sr=8-21
20,Amazon,monitor,‎B0B94PNF7P,"Seagate IronWolf Pro, 16 TB, Enterprise NAS Internal HDD –CMR 3.5 Inch, SATA 6 Gb/s, 7,200 RPM, 256 MB Cache for RAID Network Attached Storage (ST16000NT001)",329.99,Seagate,‎ST16000NT001,16 TB,Portable,"Computers, Laptops, Desktops",Internal Hard Drive,https://www.amazon.com/Seagate-IronWolf-Enterprise-Internal-Drive/dp/B0B94PNF7P/ref=sr_1_22?dib=eyJ2IjoiMSJ9.9QIeyIXm8pEU5GzIE2NfdN1exBUCkonASeKvUuPuW2arn4bmQE7xmUNA-Uh6aaYq-h-OE9kAt8KAaS3TtqN7XAFV2M8TO8BNGCPcDghslkeuWUuWC8wNVGyOQztbyWZQmKrc8GBtC9_wxLEztn9ppOOzi_6FIi1N0X1cOs7Ixj5Nuapf2l4ubBLJg5zbh-KsAmh7eWaAp9wNx5ddLwWog8h0DVndVR1HxEIfDZsoLQE.g4LK_ATEGrrJiJ8GS2vCjekq5I07U-4ogQieb4uCZNY&dib_tag=se&keywords=hard+drive&qid=1762901514&sr=8-22
21,Amazon,monitor,‎B0CHFSZX9W,"SAMSUNG T9 Portable SSD 4TB, USB 3.2 Gen 2x2 External Solid State Drive, Seq. Read Speeds Up to 2,000MB/s for Gaming, Students and Professionals,MU-PG4T0B/AM, Black (pack of 1)",299.99,Samsung,‎T9,4 TB,,"Gaming Console, Mac, PC, Tablet, iPhone 15/16",External Hard Drive,https://www.amazon.com/SAMSUNG-Portable-Professionals-MU-PG4T0B-AM/dp/B0CHFSZX9W/ref=sr_1_23?dib=eyJ2IjoiMSJ9.9QIeyIXm8pEU5GzIE2NfdN1exBUCkonASeKvUuPuW2arn4bmQE7xmUNA-Uh6aaYq-h-OE9kAt8KAaS3TtqN7XAFV2M8TO8BNGCPcDghslkeuWUuWC8wNVGyOQztbyWZQmKrc8GBtC9_wxLEztn9ppOOzi_6FIi1N0X1cOs7Ixj5Nuapf2l4ubBLJg5zbh-KsAmh7eWaAp9wNx5ddLwWog8h0DVndVR1HxEIfDZsoLQE.g4LK_ATEGrrJiJ8GS2vCjekq5I07U-4ogQieb4uCZNY&dib_tag=se&keywords=hard+drive&qid=1762901514&sr=8-23
