id,website,category,asin,title,price,brand,series,storage,special_feature,compatible_devices,type,link
1,Amazon,monitor,‎B07CRG94G3,"Seagate Portable 2TB External Hard Drive HDD — USB 3.0 for PC, Mac, PlayStation, & Xbox -1-Year Rescue Service (STGX2000400)",69.99,Seagate,‎Basic Portable Drive,2 TB,Portable,"Laptop, Desktop",Plug In,https://www.amazon.com/Seagate-Portable-External-Hard-Drive/dp/B07CRG94G3/ref=sr_1_1?dib=eyJ2IjoiMSJ9.a5Iwp9OzZ8HKFNlVLR9sRJoj9v_uw72AYXgxuUXCM9BNn890JFJSIdCD1V_rkFuZN0v8ME1HlPOcnGO8WdPxAYtB5YWvmBSiS7LFQTJ67Ds_xpBDoQ4CAN5UjsyMXun_ZmSo5RDYLTZv0n0nC2vR9CE5YbKS8fu82btp_fmwyS1Vt2M7KhwLk65ldipVDJfHKSAuACkADWF4G_SWzzPWzTlJ7d0tJVEZGb5xcBeeAmA.Kvjhn3WqQtqguyR-GvqgOFSC4by-i7cQzoZorid_AFY&dib_tag=se&keywords=hard+drive&qid=1741387902&sr=8-1
2,Amazon,monitor,‎B07C812LHQ,"Maxone 1TB Ultra Slim Portable External Hard Drive HDD USB 3.0 Compatible with PC, Laptop, Charcoal Grey",49.99,Maxone,‎Ultra Slim,1 TB,"3 Years Warranty, Portable hard drive","Laptop, Desktop",External Hard Drive,https://www.amazon.com/1000GB-Portable-External-Desktop-Chromebook/dp/B07C812LHQ/ref=sr_1_2?dib=eyJ2IjoiMSJ9.a5Iwp9OzZ8HKFNlVLR9sRJoj9v_uw72AYXgxuUXCM9BNn890JFJSIdCD1V_rkFuZN0v8ME1HlPOcnGO8WdPxAYtB5YWvmBSiS7LFQTJ67Ds_xpBDoQ4CAN5UjsyMXun_ZmSo5RDYLTZv0n0nC2vR9CE5YbKS8fu82btp_fmwyS1Vt2M7KhwLk65ldipVDJfHKSAuACkADWF4G_SWzzPWzTlJ7d0tJVEZGb5xcBeeAmA.Kvjhn3WqQtqguyR-GvqgOFSC4by-i7cQzoZorid_AFY&dib_tag=se&keywords=hard+drive&qid=1741387902&sr=8-2
3,Amazon,monitor,‎B091FS79T8,"UnionSine 500GB 2.5"" Ultra Slim Portable External Hard Drive HDD-USB 3.0 for PC, Mac, Laptop, PS4, Xbox one,Xbox 360-HD-2510(Black)",28.28,UnionSine,,500 GB,"3 Years Warranty, portable hard drive","PS4, Laptop, Desktop, xbox",External Hard Drive,https://www.amazon.com/UnionSine-Portable-External-Storage-Compatible/dp/B091FS79T8/ref=sr_1_3?dib=eyJ2IjoiMSJ9.a5Iwp9OzZ8HKFNlVLR9sRJoj9v_uw72AYXgxuUXCM9BNn890JFJSIdCD1V_rkFuZN0v8ME1HlPOcnGO8WdPxAYtB5YWvmBSiS7LFQTJ67Ds_xpBDoQ4CAN5UjsyMXun_ZmSo5RDYLTZv0n0nC2vR9CE5YbKS8fu82btp_fmwyS1Vt2M7KhwLk65ldipVDJfHKSAuACkADWF4G_SWzzPWzTlJ7d0tJVEZGb5xcBeeAmA.Kvjhn3WqQtqguyR-GvqgOFSC4by-i7cQzoZorid_AFY&dib_tag=se&keywords=hard+drive&qid=1741387902&sr=8-3
4,Amazon,monitor,‎B0BQX6NNVC,"Toshiba Canvio Basics 2TB Portable External Hard Drive USB 3.0, Black - HDTB520XK3AA",71.99,TOSHIBA,‎Canvio Basics,2 TB,Portable,"Laptop, Desktop",External Hard Drive,https://www.amazon.com/Toshiba-Canvio-Basics-Portable-External/dp/B0BQX6NNVC/ref=sr_1_4?dib=eyJ2IjoiMSJ9.a5Iwp9OzZ8HKFNlVLR9sRJoj9v_uw72AYXgxuUXCM9BNn890JFJSIdCD1V_rkFuZN0v8ME1HlPOcnGO8WdPxAYtB5YWvmBSiS7LFQTJ67Ds_xpBDoQ4CAN5UjsyMXun_ZmSo5RDYLTZv0n0nC2vR9CE5YbKS8fu82btp_fmwyS1Vt2M7KhwLk65ldipVDJfHKSAuACkADWF4G_SWzzPWzTlJ7d0tJVEZGb5xcBeeAmA.Kvjhn3WqQtqguyR-GvqgOFSC4by-i7cQzoZorid_AFY&dib_tag=se&keywords=hard+drive&qid=1741387902&sr=8-4
5,Amazon,monitor,‎B08GTYFC37,"SanDisk 1TB Extreme Portable SSD - Up to 1050MB/s, USB-C, USB 3.2 Gen 2, IP65 Water and Dust Resistance, Updated Firmware - External Solid State Drive - SDSSDE61-1T00-G25",95.99,SanDisk,‎SanDisk Extreme Portable SSD,1 TB,"Water-resistant,dust-resistant,Portable","Laptop, Desktop, Tablet",,https://www.amazon.com/SanDisk-1TB-Extreme-Portable-SDSSDE61-1T00-G25/dp/B08GTYFC37/ref=sr_1_5?dib=eyJ2IjoiMSJ9.a5Iwp9OzZ8HKFNlVLR9sRJoj9v_uw72AYXgxuUXCM9BNn890JFJSIdCD1V_rkFuZN0v8ME1HlPOcnGO8WdPxAYtB5YWvmBSiS7LFQTJ67Ds_xpBDoQ4CAN5UjsyMXun_ZmSo5RDYLTZv0n0nC2vR9CE5YbKS8fu82btp_fmwyS1Vt2M7KhwLk65ldipVDJfHKSAuACkADWF4G_SWzzPWzTlJ7d0tJVEZGb5xcBeeAmA.Kvjhn3WqQtqguyR-GvqgOFSC4by-i7cQzoZorid_AFY&dib_tag=se&keywords=hard+drive&qid=1741387902&sr=8-5
6,Amazon,monitor,‎B00IRV005E,"LaCie Rugged Mini 2TB External Hard Drive Portable HDD - USB 3.0/ 2.0 Compatible, Drop Shock Dust Rain Resistant Shuttle Drive, For Mac And PC Computer (LAC9000298), orange",90.6,LaCie,‎LaCie Rugged Mini,2 TB,Portable,Laptop,External Hard Drive,https://www.amazon.com/LaCie-Rugged-External-Portable-LAC9000298/dp/B00IRV005E/ref=sr_1_6?dib=eyJ2IjoiMSJ9.a5Iwp9OzZ8HKFNlVLR9sRJoj9v_uw72AYXgxuUXCM9BNn890JFJSIdCD1V_rkFuZN0v8ME1HlPOcnGO8WdPxAYtB5YWvmBSiS7LFQTJ67Ds_xpBDoQ4CAN5UjsyMXun_ZmSo5RDYLTZv0n0nC2vR9CE5YbKS8fu82btp_fmwyS1Vt2M7KhwLk65ldipVDJfHKSAuACkADWF4G_SWzzPWzTlJ7d0tJVEZGb5xcBeeAmA.Kvjhn3WqQtqguyR-GvqgOFSC4by-i7cQzoZorid_AFY&dib_tag=se&keywords=hard+drive&qid=1741387902&sr=8-6
7,Amazon,monitor,‎B09VCXWPQG,"WD 20TB Elements Desktop External Hard Drive, USB 3.0 drive for plug-and-play storage - WDBWLG0200HBK-NESN",279.99,Western Digital,‎Elements Desktop,20000 GB,"Plug-and-play simplicity, Fast transfer rates","PC, Mac",External Hard Drive,https://www.amazon.com/Elements-Desktop-External-external-storage/dp/B09VCXWPQG/ref=sr_1_7?dib=eyJ2IjoiMSJ9.a5Iwp9OzZ8HKFNlVLR9sRJoj9v_uw72AYXgxuUXCM9BNn890JFJSIdCD1V_rkFuZN0v8ME1HlPOcnGO8WdPxAYtB5YWvmBSiS7LFQTJ67Ds_xpBDoQ4CAN5UjsyMXun_ZmSo5RDYLTZv0n0nC2vR9CE5YbKS8fu82btp_fmwyS1Vt2M7KhwLk65ldipVDJfHKSAuACkADWF4G_SWzzPWzTlJ7d0tJVEZGb5xcBeeAmA.Kvjhn3WqQtqguyR-GvqgOFSC4by-i7cQzoZorid_AFY&dib_tag=se&keywords=hard+drive&qid=1741387902&sr=8-7
8,Amazon,monitor,‎B06W55K9N6,"WD 2TB Elements Portable External Hard Drive for Windows, USB 3.2 Gen 1/USB 3.0 for PC & Mac, Plug and Play Ready - WDBU6Y0020BBK-WESN",73.5,WD,‎Elements Portable,2 TB,Portable,"Desktop, Laptop, Gaming Console",External Hard Drive,https://www.amazon.com/Western-Digital-Elements-Portable-External/dp/B06W55K9N6/ref=sr_1_8?dib=eyJ2IjoiMSJ9.a5Iwp9OzZ8HKFNlVLR9sRJoj9v_uw72AYXgxuUXCM9BNn890JFJSIdCD1V_rkFuZN0v8ME1HlPOcnGO8WdPxAYtB5YWvmBSiS7LFQTJ67Ds_xpBDoQ4CAN5UjsyMXun_ZmSo5RDYLTZv0n0nC2vR9CE5YbKS8fu82btp_fmwyS1Vt2M7KhwLk65ldipVDJfHKSAuACkADWF4G_SWzzPWzTlJ7d0tJVEZGb5xcBeeAmA.Kvjhn3WqQtqguyR-GvqgOFSC4by-i7cQzoZorid_AFY&dib_tag=se&keywords=hard+drive&qid=1741387902&sr=8-8
9,Amazon,monitor,‎B07Y8GF5M6,HGST - WD Ultrastar DC HC520 HDD | HUH721212ALE601 | 12TB 7200RPM SATA 6Gb/s 256MB Cache 3.5-Inch | ISE 512e | Helium Data Center Internal Hard Disk Drive (Renewed),138.99,HGST,,12 TB,Hot Swappable,Desktop,Internal Hard Drive,https://www.amazon.com/HGST-Ultrastar-HUH721212ALE600-3-5-Inch-Internal/dp/B07Y8GF5M6/ref=sr_1_9?dib=eyJ2IjoiMSJ9.a5Iwp9OzZ8HKFNlVLR9sRJoj9v_uw72AYXgxuUXCM9BNn890JFJSIdCD1V_rkFuZN0v8ME1HlPOcnGO8WdPxAYtB5YWvmBSiS7LFQTJ67Ds_xpBDoQ4CAN5UjsyMXun_ZmSo5RDYLTZv0n0nC2vR9CE5YbKS8fu82btp_fmwyS1Vt2M7KhwLk65ldipVDJfHKSAuACkADWF4G_SWzzPWzTlJ7d0tJVEZGb5xcBeeAmA.Kvjhn3WqQtqguyR-GvqgOFSC4by-i7cQzoZorid_AFY&dib_tag=se&keywords=hard+drive&qid=1741387902&sr=8-9
10,Amazon,monitor,‎B08JKGHHHQ,"Toshiba Canvio Advance 2TB Portable External Hard Drive USB 3.0, Green - HDTCA20XG3AA",74.49,TOSHIBA,‎Canvio Advance,2 TB,Portable,"PC, Mac (reformatting required)",External Hard Drive,https://www.amazon.com/Toshiba-Canvio-Advance-Portable-External/dp/B08JKGHHHQ/ref=sr_1_10?dib=eyJ2IjoiMSJ9.a5Iwp9OzZ8HKFNlVLR9sRJoj9v_uw72AYXgxuUXCM9BNn890JFJSIdCD1V_rkFuZN0v8ME1HlPOcnGO8WdPxAYtB5YWvmBSiS7LFQTJ67Ds_xpBDoQ4CAN5UjsyMXun_ZmSo5RDYLTZv0n0nC2vR9CE5YbKS8fu82btp_fmwyS1Vt2M7KhwLk65ldipVDJfHKSAuACkADWF4G_SWzzPWzTlJ7d0tJVEZGb5xcBeeAmA.Kvjhn3WqQtqguyR-GvqgOFSC4by-i7cQzoZorid_AFY&dib_tag=se&keywords=hard+drive&qid=1741387902&sr=8-10
