id,website,category,asin,title,price,brand,model_name,hard_drive,ram,screen_resolution,color,link
1,Amazon,laptop,B0F2HDDRS3,HP Student Business Laptop Computer - w/Microsoft Office Lifetime & Free CD/DVD Drive • 16GB RAM • 128GB eMMC & 256GB Extend Micro SD • Intel 4-Core Processor • HD Display • Win11 Pro(Silver),324.0,HP,HP 14 Inch Laptop,‎128 GB Emmc,‎DDR4,‎1366 x 768 pixels,‎Silver,https://www.amazon.com/HP-Student-Business-Laptop-Computer/dp/B0F2HDDRS3/ref=sr_1_1?dib=eyJ2IjoiMSJ9.IP546pfcJ9NyUx6H1IKtYOUCocUdcVtF3KtJ8YhRIkAe5rVWPnuhre5Wx08QvW8mmd2pE0kb2Aslv8v1UmFUtzM2JBGwx7NVr5XSfUD_9ZQ4plEjTIKI8gVBpWbSiM45Sg5ML_63BB8rb0chRPGihdcKt0P4B6YqTvirFiN_I_XHpC4DIuMB1Ms9Pcz61SYdDS9EK8dpfzUzumUNn_ULT_6I8Wpil7VIGNVTogYjIZM.00yhFVG5Ii9sHJy9vffMdk7WJXWPHlOMbVUgi8phteY&dib_tag=se&keywords=laptop&qid=1745795234&sr=8-1
2,Amazon,laptop,B0F3CBBNBP,"15.6 Inch Laptop with Office 365, 4GB RAM, 128GB Storage Expandable 1TB, 5205U Processor, HD Display, Windows 11 Laptops Computer, Wi-Fi 5, BT4.2, Numpad, Type-C, for Business and Students.",199.99,jumper,EZbook S7-Hi,‎128 GB SSD,‎DDR4,‎1366 x 768 pixels,‎Gray,https://www.amazon.com/Expandable-Processor-Computer-Business-Students/dp/B0F3CBBNBP/ref=sr_1_2?dib=eyJ2IjoiMSJ9.IP546pfcJ9NyUx6H1IKtYOUCocUdcVtF3KtJ8YhRIkAe5rVWPnuhre5Wx08QvW8mmd2pE0kb2Aslv8v1UmFUtzM2JBGwx7NVr5XSfUD_9ZQ4plEjTIKI8gVBpWbSiM45Sg5ML_63BB8rb0chRPGihdcKt0P4B6YqTvirFiN_I_XHpC4DIuMB1Ms9Pcz61SYdDS9EK8dpfzUzumUNn_ULT_6I8Wpil7VIGNVTogYjIZM.00yhFVG5Ii9sHJy9vffMdk7WJXWPHlOMbVUgi8phteY&dib_tag=se&keywords=laptop&qid=1745795234&sr=8-2
3,Amazon,laptop,B0BS4BP8FB,"Acer Aspire 3 A315-24P-R7VH Slim Laptop | 15.6"" Full HD IPS Display | AMD Ryzen 3 7320U Quad-Core Processor | AMD Radeon Graphics | 8GB LPDDR5 | 128GB NVMe SSD | Wi-Fi 6 | Windows 11 Home in S Mode",299.99,acer,Laptop,‎128 GB SSD,‎8 GB LPDDR5,‎1920 x 1080 pixels,‎Silver,https://www.amazon.com/A315-24P-R7VH-Display-Quad-Core-Processor-Graphics/dp/B0BS4BP8FB/ref=sr_1_4?dib=eyJ2IjoiMSJ9.IP546pfcJ9NyUx6H1IKtYOUCocUdcVtF3KtJ8YhRIkAe5rVWPnuhre5Wx08QvW8mmd2pE0kb2Aslv8v1UmFUtzM2JBGwx7NVr5XSfUD_9ZQ4plEjTIKI8gVBpWbSiM45Sg5ML_63BB8rb0chRPGihdcKt0P4B6YqTvirFiN_I_XHpC4DIuMB1Ms9Pcz61SYdDS9EK8dpfzUzumUNn_ULT_6I8Wpil7VIGNVTogYjIZM.00yhFVG5Ii9sHJy9vffMdk7WJXWPHlOMbVUgi8phteY&dib_tag=se&keywords=laptop&qid=1745795234&sr=8-4
4,Amazon,laptop,B0947BJ67M,"HP 14 Laptop, Intel Celeron N4020, 4 GB RAM, 64 GB Storage, 14-inch Micro-edge HD Display, Windows 11 Home, Thin & Portable, 4K Graphics, One Year of Microsoft 365 (14-dq0040nr, Snowflake White)",184.97,HP,14-dq0040nr,‎64 GB Emmc,‎4 GB DDR4,‎1366 x 768 pixels,‎Snowflake White,https://www.amazon.com/HP-Micro-edge-Microsoft-14-dq0040nr-Snowflake/dp/B0947BJ67M/ref=sr_1_3?dib=eyJ2IjoiMSJ9.IP546pfcJ9NyUx6H1IKtYOUCocUdcVtF3KtJ8YhRIkAe5rVWPnuhre5Wx08QvW8mmd2pE0kb2Aslv8v1UmFUtzM2JBGwx7NVr5XSfUD_9ZQ4plEjTIKI8gVBpWbSiM45Sg5ML_63BB8rb0chRPGihdcKt0P4B6YqTvirFiN_I_XHpC4DIuMB1Ms9Pcz61SYdDS9EK8dpfzUzumUNn_ULT_6I8Wpil7VIGNVTogYjIZM.00yhFVG5Ii9sHJy9vffMdk7WJXWPHlOMbVUgi8phteY&dib_tag=se&keywords=laptop&qid=1745795234&sr=8-3
5,Amazon,laptop,B0CF62H34N,"Lenovo IdeaPad 1 Student Laptop, 15.6"" FHD Display, Intel Dual Core Processor, 12GB RAM, 512GB SSD + 128GB eMMC, 1 Year Office 365, Wi-Fi 6, Webcam, Bluetooth, SD Card Reader, Windows 11 Home, Grey",288.15,Lenovo,IdeaPad 1 15IJL7,‎512 GB SSD,‎12 GB DDR4,‎1920 x 1080 pixels,‎Gray,https://www.amazon.com/Lenovo-IdeaPad-Student-Processor-Bluetooth/dp/B0CF62H34N/ref=sr_1_5?dib=eyJ2IjoiMSJ9.IP546pfcJ9NyUx6H1IKtYOUCocUdcVtF3KtJ8YhRIkAe5rVWPnuhre5Wx08QvW8mmd2pE0kb2Aslv8v1UmFUtzM2JBGwx7NVr5XSfUD_9ZQ4plEjTIKI8gVBpWbSiM45Sg5ML_63BB8rb0chRPGihdcKt0P4B6YqTvirFiN_I_XHpC4DIuMB1Ms9Pcz61SYdDS9EK8dpfzUzumUNn_ULT_6I8Wpil7VIGNVTogYjIZM.00yhFVG5Ii9sHJy9vffMdk7WJXWPHlOMbVUgi8phteY&dib_tag=se&keywords=laptop&qid=1745795234&sr=8-5
6,Amazon,laptop,B0DYVV2WRR,"Lenovo V15 Laptop Computer, 32GB RAM, 1TB PCIe SSD, Intel Celeron N4500 Processor, Intel UHD Graphics, 15.6"" FHD 1080p Display, Ethernet Port RJ-45, WiFi 6, Windows 11 Pro, WOWPC Recovery USB",349.99,Lenovo,V15,‎1 TB SSD,‎DDR4,‎1920 x 1080 Pixels,‎Black,https://www.amazon.com/Lenovo-V15-Computer-Processor-Graphics/dp/B0DYVV2WRR/ref=sr_1_6?dib=eyJ2IjoiMSJ9.IP546pfcJ9NyUx6H1IKtYOUCocUdcVtF3KtJ8YhRIkAe5rVWPnuhre5Wx08QvW8mmd2pE0kb2Aslv8v1UmFUtzM2JBGwx7NVr5XSfUD_9ZQ4plEjTIKI8gVBpWbSiM45Sg5ML_63BB8rb0chRPGihdcKt0P4B6YqTvirFiN_I_XHpC4DIuMB1Ms9Pcz61SYdDS9EK8dpfzUzumUNn_ULT_6I8Wpil7VIGNVTogYjIZM.00yhFVG5Ii9sHJy9vffMdk7WJXWPHlOMbVUgi8phteY&dib_tag=se&keywords=laptop&qid=1745795234&sr=8-6
7,Amazon,laptop,B0DRVV3H89,"15.6-FHD-Laptop Student-Laptop, 16GB RAM 1TB SSD, Intel Pentium Quad-Core N100 Processor (Up to 3.4GHz) Backlit Keyboard Fingerprint WiFi 6 BT5.2 Business-Laptop, 2 Years Warranty Windows 11 Laptop",299.99,NIMO,16GB RAM|1TB SSD,‎1024 GB SSD,‎16 GB DDR4,‎1920x1080,‎Royal Blue,https://www.amazon.com/15-6-FHD-Laptop-Student-Laptop-Quad-Core-Fingerprint-Business-Laptop/dp/B0DRVV3H89/ref=sr_1_7?dib=eyJ2IjoiMSJ9.IP546pfcJ9NyUx6H1IKtYOUCocUdcVtF3KtJ8YhRIkAe5rVWPnuhre5Wx08QvW8mmd2pE0kb2Aslv8v1UmFUtzM2JBGwx7NVr5XSfUD_9ZQ4plEjTIKI8gVBpWbSiM45Sg5ML_63BB8rb0chRPGihdcKt0P4B6YqTvirFiN_I_XHpC4DIuMB1Ms9Pcz61SYdDS9EK8dpfzUzumUNn_ULT_6I8Wpil7VIGNVTogYjIZM.00yhFVG5Ii9sHJy9vffMdk7WJXWPHlOMbVUgi8phteY&dib_tag=se&keywords=laptop&qid=1745795234&sr=8-7
8,Amazon,laptop,B0B2D77YB8,"HP 14"" Ultral Light Laptop for Students and Business, Intel Quad-Core, 8GB RAM, 192GB Storage(64GB eMMC+128GB Ghost Manta SD Card), 1 Year Office 365, USB C, Win 11 S",269.99,HP,HP Laptop,‎64 GB SSD,‎8 GB DDR4,‎1366 x 768 pixels,‎Snowflake White,https://www.amazon.com/HP-Students-Business-Quad-Core-Storage/dp/B0B2D77YB8/ref=sr_1_8?dib=eyJ2IjoiMSJ9.IP546pfcJ9NyUx6H1IKtYOUCocUdcVtF3KtJ8YhRIkAe5rVWPnuhre5Wx08QvW8mmd2pE0kb2Aslv8v1UmFUtzM2JBGwx7NVr5XSfUD_9ZQ4plEjTIKI8gVBpWbSiM45Sg5ML_63BB8rb0chRPGihdcKt0P4B6YqTvirFiN_I_XHpC4DIuMB1Ms9Pcz61SYdDS9EK8dpfzUzumUNn_ULT_6I8Wpil7VIGNVTogYjIZM.00yhFVG5Ii9sHJy9vffMdk7WJXWPHlOMbVUgi8phteY&dib_tag=se&keywords=laptop&qid=1745795234&sr=8-8
9,Amazon,laptop,B0F1N3ZDB6,"Lenovo 15.6"" FHD Laptop Computer for Business and Student, Intel Dual Core Processor, 32GB DDR4 RAM, 1TB PCIe SSD, WiFi 6, Bluetooth 5.2, Type-C, HDMI, Numeric Keypad, Black, Windows 11 Pro, AZ-XUT",479.0,Lenovo,V15,‎1 TB SSD,‎32 GB DDR4,‎1920x1080,‎Black,https://www.amazon.com/Lenovo-Computer-Business-Processor-Bluetooth/dp/B0F1N3ZDB6/ref=sr_1_9?dib=eyJ2IjoiMSJ9.IP546pfcJ9NyUx6H1IKtYOUCocUdcVtF3KtJ8YhRIkAe5rVWPnuhre5Wx08QvW8mmd2pE0kb2Aslv8v1UmFUtzM2JBGwx7NVr5XSfUD_9ZQ4plEjTIKI8gVBpWbSiM45Sg5ML_63BB8rb0chRPGihdcKt0P4B6YqTvirFiN_I_XHpC4DIuMB1Ms9Pcz61SYdDS9EK8dpfzUzumUNn_ULT_6I8Wpil7VIGNVTogYjIZM.00yhFVG5Ii9sHJy9vffMdk7WJXWPHlOMbVUgi8phteY&dib_tag=se&keywords=laptop&qid=1745795234&sr=8-9
10,Amazon,laptop,B0CWN27G3V,"HP 15.6"" Business Laptop, Free Microsoft Office 2024 Lifetime License, Copilot AI Chat, HD Touchscreen Display, Intel 6-Core i3-1215U 4.4 GHz, 16GB RAM, 1TB SSD, Long Battery Life, Windows 11 Pro",447.59,HP,15-DY5033DX,‎1 TB SSD,‎16 GB DDR4,‎1366x768,‎Silver,https://www.amazon.com/HP-Business-Microsoft-Lifetime-Touchscreen/dp/B0CWN27G3V/ref=sr_1_10?dib=eyJ2IjoiMSJ9.IP546pfcJ9NyUx6H1IKtYOUCocUdcVtF3KtJ8YhRIkAe5rVWPnuhre5Wx08QvW8mmd2pE0kb2Aslv8v1UmFUtzM2JBGwx7NVr5XSfUD_9ZQ4plEjTIKI8gVBpWbSiM45Sg5ML_63BB8rb0chRPGihdcKt0P4B6YqTvirFiN_I_XHpC4DIuMB1Ms9Pcz61SYdDS9EK8dpfzUzumUNn_ULT_6I8Wpil7VIGNVTogYjIZM.00yhFVG5Ii9sHJy9vffMdk7WJXWPHlOMbVUgi8phteY&dib_tag=se&keywords=laptop&qid=1745795234&sr=8-10
