id,website,category,asin,title,price,brand,model_name,hard_drive,ram,screen_resolution,color,link
1,Amazon,laptop,B0BS4BP8FB,"Acer Aspire 3 A315-24P-R7VH Slim Laptop | 15.6"" Full HD IPS Display | AMD Ryzen 3 7320U Quad-Core Processor | AMD Radeon Graphics | 8GB LPDDR5 | 128GB NVMe SSD | Wi-Fi 6 | Windows 11 Home in S Mode",299.99,acer,Laptop,‎128 GB SSD,‎8 GB LPDDR5,‎1920 x 1080 pixels,‎Silver,https://www.amazon.com/A315-24P-R7VH-Display-Quad-Core-Processor-Graphics/dp/B0BS4BP8FB/ref=sr_1_1?dib=eyJ2IjoiMSJ9.iBCtzwnCm6CE8Bx8hKmQ8aPD2Pzy3Iea93OSwEy4QXx3JPbjrE_iJZrQaE0ZxyagnN_8yVIgc6XnV-F8Ghsp9-iEsn4Uk5_msImyg1LPyv0MN2LuEf-E6gNFi8f98EURNsPdTIEOXl36GwIWsL8hquozJV9ImdDhKYvk2exrSMaJJVw2r8GFIitNLy5q2noJhRdi-u94NkQMONpY0Eg7BdtplCGU68DCJFZC97NNMCE.uSFJlkBiVC4LMST7eYyOQ75PhuUycCwHuDp-IjvsCm0&dib_tag=se&keywords=laptop&qid=1748214524&sr=8-1
2,Amazon,laptop,B0947BJ67M,"HP 14 Laptop, Intel Celeron N4020, 4 GB RAM, 64 GB Storage, 14-inch Micro-edge HD Display, Windows 11 Home, Thin & Portable, 4K Graphics, One Year of Microsoft 365 (14-dq0040nr, Snowflake White)",180.0,HP,14-dq0040nr,‎64 GB Emmc,‎4 GB DDR4,‎1366 x 768 pixels,‎Snowflake White,https://www.amazon.com/HP-Micro-edge-Microsoft-14-dq0040nr-Snowflake/dp/B0947BJ67M/ref=sr_1_2?dib=eyJ2IjoiMSJ9.iBCtzwnCm6CE8Bx8hKmQ8aPD2Pzy3Iea93OSwEy4QXx3JPbjrE_iJZrQaE0ZxyagnN_8yVIgc6XnV-F8Ghsp9-iEsn4Uk5_msImyg1LPyv0MN2LuEf-E6gNFi8f98EURNsPdTIEOXl36GwIWsL8hquozJV9ImdDhKYvk2exrSMaJJVw2r8GFIitNLy5q2noJhRdi-u94NkQMONpY0Eg7BdtplCGU68DCJFZC97NNMCE.uSFJlkBiVC4LMST7eYyOQ75PhuUycCwHuDp-IjvsCm0&dib_tag=se&keywords=laptop&qid=1748214524&sr=8-2
3,Amazon,laptop,B0F7HJJN7Z,"Lenovo IdeaPad 1 Laptop Computer for Home and Business Student, 32GB DDR4 RAM, 1TB PCIe SSD, 15.6"" FHD, Intel Dual-Core Processor, WiFi 6, Bluetooth, Type-C, HDMI, Windows 11 Pro, Wendbo",419.0,Lenovo,IdeaPad,‎1 TB SSD,‎32 GB DDR4,‎1920 x 1080 Pixels,‎Cloud Grey,https://www.amazon.com/Lenovo-Computer-Dual-Core-Processor-Bluetooth/dp/B0F7HJJN7Z/ref=sr_1_3?dib=eyJ2IjoiMSJ9.iBCtzwnCm6CE8Bx8hKmQ8aPD2Pzy3Iea93OSwEy4QXx3JPbjrE_iJZrQaE0ZxyagnN_8yVIgc6XnV-F8Ghsp9-iEsn4Uk5_msImyg1LPyv0MN2LuEf-E6gNFi8f98EURNsPdTIEOXl36GwIWsL8hquozJV9ImdDhKYvk2exrSMaJJVw2r8GFIitNLy5q2noJhRdi-u94NkQMONpY0Eg7BdtplCGU68DCJFZC97NNMCE.uSFJlkBiVC4LMST7eYyOQ75PhuUycCwHuDp-IjvsCm0&dib_tag=se&keywords=laptop&qid=1748214524&sr=8-3
4,Amazon,laptop,B0F8N161W3,"15.6 Inch Laptop with Office 365, 4GB RAM, 128GB Storage Expandable 1TB, 5205U Processor, HD Display, Windows 11 Laptops Computer, Wi-Fi 5, BT4.2, Numpad, Type-C, for Business and Students.",199.99,jumper,EZbook S7-Hi,‎128 GB Emmc,‎DDR4,‎1366 x 768 pixels,‎Gray,https://www.amazon.com/Expandable-Processor-Computer-Business-Students/dp/B0F8N161W3/ref=sr_1_4?dib=eyJ2IjoiMSJ9.iBCtzwnCm6CE8Bx8hKmQ8aPD2Pzy3Iea93OSwEy4QXx3JPbjrE_iJZrQaE0ZxyagnN_8yVIgc6XnV-F8Ghsp9-iEsn4Uk5_msImyg1LPyv0MN2LuEf-E6gNFi8f98EURNsPdTIEOXl36GwIWsL8hquozJV9ImdDhKYvk2exrSMaJJVw2r8GFIitNLy5q2noJhRdi-u94NkQMONpY0Eg7BdtplCGU68DCJFZC97NNMCE.uSFJlkBiVC4LMST7eYyOQ75PhuUycCwHuDp-IjvsCm0&dib_tag=se&keywords=laptop&qid=1748214524&sr=8-4
5,Amazon,laptop,B0B2D77YB8,"HP 14"" Ultral Light Laptop for Students and Business, Intel Quad-Core, 8GB RAM, 192GB Storage(64GB eMMC+128GB Ghost Manta SD Card), 1 Year Office 365, USB C, Win 11 S",249.99,HP,HP Laptop,‎64 GB SSD,‎8 GB DDR4,‎1366 x 768 pixels,‎Snowflake White,https://www.amazon.com/HP-Students-Business-Quad-Core-Storage/dp/B0B2D77YB8/ref=sr_1_5?dib=eyJ2IjoiMSJ9.iBCtzwnCm6CE8Bx8hKmQ8aPD2Pzy3Iea93OSwEy4QXx3JPbjrE_iJZrQaE0ZxyagnN_8yVIgc6XnV-F8Ghsp9-iEsn4Uk5_msImyg1LPyv0MN2LuEf-E6gNFi8f98EURNsPdTIEOXl36GwIWsL8hquozJV9ImdDhKYvk2exrSMaJJVw2r8GFIitNLy5q2noJhRdi-u94NkQMONpY0Eg7BdtplCGU68DCJFZC97NNMCE.uSFJlkBiVC4LMST7eYyOQ75PhuUycCwHuDp-IjvsCm0&dib_tag=se&keywords=laptop&qid=1748214524&sr=8-5
6,Amazon,laptop,B0DQJ9Y4JL,"ASUS 14"" FHD Laptop, Intel Pentium N6000 Processor, 4GB RAM, 224GB Storage(64GB eMMC+160GB Docking Station Set), Intel UHD Graphics, Webcam, Bluetooth, Win 11, Star Black",229.0,ASUS,ASUS,‎64 GB SSD,‎4 GB DDR4,‎1920 x 1080 pixels,‎Black,https://www.amazon.com/ASUS-Pentium-Processor-Graphics-Bluetooth/dp/B0DQJ9Y4JL/ref=sr_1_7?dib=eyJ2IjoiMSJ9.iBCtzwnCm6CE8Bx8hKmQ8aPD2Pzy3Iea93OSwEy4QXx3JPbjrE_iJZrQaE0ZxyagnN_8yVIgc6XnV-F8Ghsp9-iEsn4Uk5_msImyg1LPyv0MN2LuEf-E6gNFi8f98EURNsPdTIEOXl36GwIWsL8hquozJV9ImdDhKYvk2exrSMaJJVw2r8GFIitNLy5q2noJhRdi-u94NkQMONpY0Eg7BdtplCGU68DCJFZC97NNMCE.uSFJlkBiVC4LMST7eYyOQ75PhuUycCwHuDp-IjvsCm0&dib_tag=se&keywords=laptop&qid=1748214524&sr=8-7
7,Amazon,laptop,B0CPKS65P5,"HP Portable Laptop, Student and Business, 14"" HD Display, Intel Quad-Core N4120, 16GB DDR4 RAM, 64GB eMMC, 1 Year Office 365, Webcam, RJ-45, HDMI, Wi-Fi, Windows 11 Home, Silver",204.0,HP,TPN-Q221,‎64 GB SSD,‎16 GB DDR4,‎1366 x 768 pixels,‎Silver,https://www.amazon.com/HP-Portable-Student-Business-Quad-Core/dp/B0CPKS65P5/ref=sr_1_6?dib=eyJ2IjoiMSJ9.iBCtzwnCm6CE8Bx8hKmQ8aPD2Pzy3Iea93OSwEy4QXx3JPbjrE_iJZrQaE0ZxyagnN_8yVIgc6XnV-F8Ghsp9-iEsn4Uk5_msImyg1LPyv0MN2LuEf-E6gNFi8f98EURNsPdTIEOXl36GwIWsL8hquozJV9ImdDhKYvk2exrSMaJJVw2r8GFIitNLy5q2noJhRdi-u94NkQMONpY0Eg7BdtplCGU68DCJFZC97NNMCE.uSFJlkBiVC4LMST7eYyOQ75PhuUycCwHuDp-IjvsCm0&dib_tag=se&keywords=laptop&qid=1748214524&sr=8-6
8,Amazon,laptop,B0CPGKT77T,"HP 15.6"" Portable Laptop (Include 1 Year Microsoft 365), HD Display, Intel Quad-Core N200 Processor, 16GB RAM, 128GB Storage, Wi-Fi 5, Webcam, HDMI, Numeric Keypad, Windows 11 Home, Red",319.0,HP,TPN-Q284_632**AV,‎128 GB SSD,‎16 GB DDR4,‎1366 x 768 pixels,‎Red,https://www.amazon.com/HP-Portable-Microsoft-Quad-Core-Processor/dp/B0CPGKT77T/ref=sr_1_9?dib=eyJ2IjoiMSJ9.iBCtzwnCm6CE8Bx8hKmQ8aPD2Pzy3Iea93OSwEy4QXx3JPbjrE_iJZrQaE0ZxyagnN_8yVIgc6XnV-F8Ghsp9-iEsn4Uk5_msImyg1LPyv0MN2LuEf-E6gNFi8f98EURNsPdTIEOXl36GwIWsL8hquozJV9ImdDhKYvk2exrSMaJJVw2r8GFIitNLy5q2noJhRdi-u94NkQMONpY0Eg7BdtplCGU68DCJFZC97NNMCE.uSFJlkBiVC4LMST7eYyOQ75PhuUycCwHuDp-IjvsCm0&dib_tag=se&keywords=laptop&qid=1748214524&sr=8-9
9,Amazon,laptop,B09YRY6QCX,ASUS E410 Intel Celeron N4020 4GB 64GB 14-Inch HD LED Win 10 Laptop (Star Black),150.88,ASUS,Asus,‎64 GB Emmc,‎4 GB SDRAM,‎1366 x 768 pixels,‎Black,https://www.amazon.com/Intel-Celeron-N4020-14-Inch-Laptop/dp/B09YRY6QCX/ref=sr_1_8?dib=eyJ2IjoiMSJ9.iBCtzwnCm6CE8Bx8hKmQ8aPD2Pzy3Iea93OSwEy4QXx3JPbjrE_iJZrQaE0ZxyagnN_8yVIgc6XnV-F8Ghsp9-iEsn4Uk5_msImyg1LPyv0MN2LuEf-E6gNFi8f98EURNsPdTIEOXl36GwIWsL8hquozJV9ImdDhKYvk2exrSMaJJVw2r8GFIitNLy5q2noJhRdi-u94NkQMONpY0Eg7BdtplCGU68DCJFZC97NNMCE.uSFJlkBiVC4LMST7eYyOQ75PhuUycCwHuDp-IjvsCm0&dib_tag=se&keywords=laptop&qid=1748214524&sr=8-8
10,Amazon,laptop,B0D3JLHQ8K,"Lenovo V-Series V15 Business Laptop, 15.6"" FHD Display, AMD Ryzen 7 7730U, 40GB RAM, 1TB SSD, Numeric Keypad, HDMI, RJ45, Webcam, Wi-Fi, Windows 11 Pro, Black",568.01,Lenovo,Lenovo V15 G4 ABP,‎1 TB SSD,‎40 GB DDR4,‎1920 x 1080 pixels,‎Black,https://www.amazon.com/Lenovo-V15-Business-Display-Numeric/dp/B0D3JLHQ8K/ref=sr_1_10?dib=eyJ2IjoiMSJ9.iBCtzwnCm6CE8Bx8hKmQ8aPD2Pzy3Iea93OSwEy4QXx3JPbjrE_iJZrQaE0ZxyagnN_8yVIgc6XnV-F8Ghsp9-iEsn4Uk5_msImyg1LPyv0MN2LuEf-E6gNFi8f98EURNsPdTIEOXl36GwIWsL8hquozJV9ImdDhKYvk2exrSMaJJVw2r8GFIitNLy5q2noJhRdi-u94NkQMONpY0Eg7BdtplCGU68DCJFZC97NNMCE.uSFJlkBiVC4LMST7eYyOQ75PhuUycCwHuDp-IjvsCm0&dib_tag=se&keywords=laptop&qid=1748214524&sr=8-10
