id,website,category,asin,title,price,brand,model_name,hard_drive,ram,screen_resolution,color,link
1,Amazon,laptop,B0DZQCTH92,"HP 15.6 inch Laptop, HD Touchscreen Display, AMD Ryzen 3 7320U, 8 GB RAM, 128 GB SSD, AMD Radeon Graphics, Windows 11 Home in S Mode, Natural Silver, 15- fc0099nr",299.99,HP,HP Laptop 15-fc0099nr,‎128 GB 128 GB PCIe NVMe M.2 SSD,‎LPDDR5,‎1366 x 768 pixels,‎Natural silver,https://www.amazon.com/HP-Touchscreen-Display-Graphics-fc0099nr/dp/B0DZQCTH92/ref=sr_1_3?dib=eyJ2IjoiMSJ9.WwdElTO-Lu1E0itxo6eZz626ZVg2k4c_yDiXFZ2ZodNOnBSDIt_Z-LX6RY6XezM-e6kbLJNuT-gHwd64gD9GWxDcVnQcY3YbWYKxzP9mX-c5XSZXUB6KW1SCZAnrOjFuK_1WoudgitHKhcl8FTny0peCHqdmh3hEGqfupVk_Y1jylKy2mPxuKWx9PvetNM2yOfobchenWF1FCBcem3EBdvOG1cMMVq7hD7V26nY02dg.GkhFpxc6NHvDmPvZAlePbrrqLuHsnA25WAFeyF1HGEI&dib_tag=se&keywords=laptop&qid=1763421379&sr=8-3
2,Amazon,laptop,B0DWQ1VGJB,"HP 14 inch Laptop, HD Touchscreen Display, AMD Ryzen 5 7520U, 8 GB RAM, 512 GB SSD, AMD Radeon Graphics, Windows 11 Home, Natural Silver, 14-em0499nr",329.99,HP,HP Laptop 14-em0499nr,‎512 GB 512 GB PCIe NVMe M.2 SSD,‎LPDDR5,‎1366 x 768 pixels,‎Natural silver,https://www.amazon.com/HP-Touchscreen-Display-Graphics-14-em0499nr/dp/B0DWQ1VGJB/ref=sr_1_4?dib=eyJ2IjoiMSJ9.WwdElTO-Lu1E0itxo6eZz626ZVg2k4c_yDiXFZ2ZodNOnBSDIt_Z-LX6RY6XezM-e6kbLJNuT-gHwd64gD9GWxDcVnQcY3YbWYKxzP9mX-c5XSZXUB6KW1SCZAnrOjFuK_1WoudgitHKhcl8FTny0peCHqdmh3hEGqfupVk_Y1jylKy2mPxuKWx9PvetNM2yOfobchenWF1FCBcem3EBdvOG1cMMVq7hD7V26nY02dg.GkhFpxc6NHvDmPvZAlePbrrqLuHsnA25WAFeyF1HGEI&dib_tag=se&keywords=laptop&qid=1763421379&sr=8-4
3,Amazon,laptop,‎B0DZD9S5GC,"Apple 2025 MacBook Air 13-inch Laptop with M4 chip: Built for Apple Intelligence, 13.6-inch Liquid Retina Display, 16GB Unified Memory, 256GB SSD Storage, 12MP Center Stage Camera, Touch ID; Midnight",749.99,Apple,MacBook Air,,,,,https://www.amazon.com/Apple-2025-MacBook-13-inch-Laptop/dp/B0DZD9S5GC/ref=sr_1_5?dib=eyJ2IjoiMSJ9.WwdElTO-Lu1E0itxo6eZz626ZVg2k4c_yDiXFZ2ZodNOnBSDIt_Z-LX6RY6XezM-e6kbLJNuT-gHwd64gD9GWxDcVnQcY3YbWYKxzP9mX-c5XSZXUB6KW1SCZAnrOjFuK_1WoudgitHKhcl8FTny0peCHqdmh3hEGqfupVk_Y1jylKy2mPxuKWx9PvetNM2yOfobchenWF1FCBcem3EBdvOG1cMMVq7hD7V26nY02dg.GkhFpxc6NHvDmPvZAlePbrrqLuHsnA25WAFeyF1HGEI&dib_tag=se&keywords=laptop&qid=1763421379&sr=8-5
4,Amazon,laptop,B0947BJ67M,"HP 14 Laptop, Intel Celeron N4020, 4 GB RAM, 64 GB Storage, 14-inch Micro-edge HD Display, Windows 11 Home, Thin & Portable, 4K Graphics, One Year of Microsoft 365 (14-dq0040nr, Snowflake White)",171.3,HP,14-dq0040nr,‎64 GB Emmc,‎4 GB DDR4,‎1366 x 768 pixels,‎Snowflake White,https://www.amazon.com/HP-Micro-edge-Microsoft-14-dq0040nr-Snowflake/dp/B0947BJ67M/ref=sr_1_6?dib=eyJ2IjoiMSJ9.WwdElTO-Lu1E0itxo6eZz626ZVg2k4c_yDiXFZ2ZodNOnBSDIt_Z-LX6RY6XezM-e6kbLJNuT-gHwd64gD9GWxDcVnQcY3YbWYKxzP9mX-c5XSZXUB6KW1SCZAnrOjFuK_1WoudgitHKhcl8FTny0peCHqdmh3hEGqfupVk_Y1jylKy2mPxuKWx9PvetNM2yOfobchenWF1FCBcem3EBdvOG1cMMVq7hD7V26nY02dg.GkhFpxc6NHvDmPvZAlePbrrqLuHsnA25WAFeyF1HGEI&dib_tag=se&keywords=laptop&qid=1763421379&sr=8-6
5,Amazon,laptop,B0D1YQJKY2,"Lenovo V15 Gen 4 Business Laptop, 15.6"" FHD Display, Intel Core i5-13420H (Beat i7-1355U), HDMI, RJ45, Webcam, Numeric Keypad, Wi-Fi, Windows 11 Pro, Black (16GB RAM | 512GB SSD)",450.0,Lenovo,Lenovo V15 G4 IRU,‎512 GB SSD,‎16 GB DDR4,‎1920 x 1080 pixels,‎Black,https://www.amazon.com/Lenovo-V15-Business-i5-13420H-i7-1355U/dp/B0D1YQJKY2/ref=sr_1_8?dib=eyJ2IjoiMSJ9.WwdElTO-Lu1E0itxo6eZz626ZVg2k4c_yDiXFZ2ZodNOnBSDIt_Z-LX6RY6XezM-e6kbLJNuT-gHwd64gD9GWxDcVnQcY3YbWYKxzP9mX-c5XSZXUB6KW1SCZAnrOjFuK_1WoudgitHKhcl8FTny0peCHqdmh3hEGqfupVk_Y1jylKy2mPxuKWx9PvetNM2yOfobchenWF1FCBcem3EBdvOG1cMMVq7hD7V26nY02dg.GkhFpxc6NHvDmPvZAlePbrrqLuHsnA25WAFeyF1HGEI&dib_tag=se&keywords=laptop&qid=1763421379&sr=8-8
6,Amazon,laptop,B0DWPQDLM5,"HP 17.3 inch Laptop, HD+ Display, AMD Ryzen 5 7520U, 16 GB RAM, 512 GB SSD, AMD Radeon Graphics, Windows 11 Home, Natural Silver, 17-cp2199nr",544.05,HP,HP Laptop 17-cp2199nr,‎512 GB 512 GB PCIe NVMe M.2 SSD,‎LPDDR5,‎1600 x 900,‎Natural silver,https://www.amazon.com/HP-Display-Graphics-Windows-17-cp2199nr/dp/B0DWPQDLM5/ref=sr_1_9?dib=eyJ2IjoiMSJ9.WwdElTO-Lu1E0itxo6eZz626ZVg2k4c_yDiXFZ2ZodNOnBSDIt_Z-LX6RY6XezM-e6kbLJNuT-gHwd64gD9GWxDcVnQcY3YbWYKxzP9mX-c5XSZXUB6KW1SCZAnrOjFuK_1WoudgitHKhcl8FTny0peCHqdmh3hEGqfupVk_Y1jylKy2mPxuKWx9PvetNM2yOfobchenWF1FCBcem3EBdvOG1cMMVq7hD7V26nY02dg.GkhFpxc6NHvDmPvZAlePbrrqLuHsnA25WAFeyF1HGEI&dib_tag=se&keywords=laptop&qid=1763421379&sr=8-9
7,Amazon,laptop,‎B0DZDC3WW5,"Apple 2025 MacBook Air 13-inch Laptop with M4 chip: Built for Apple Intelligence, 13.6-inch Liquid Retina Display, 16GB Unified Memory, 256GB SSD Storage, 12MP Center Stage Camera, Touch ID; Sky Blue",749.99,Apple,MacBook Air,,,,,https://www.amazon.com/Apple-2025-MacBook-13-inch-Laptop/dp/B0DZDC3WW5/ref=sr_1_10?dib=eyJ2IjoiMSJ9.WwdElTO-Lu1E0itxo6eZz626ZVg2k4c_yDiXFZ2ZodNOnBSDIt_Z-LX6RY6XezM-e6kbLJNuT-gHwd64gD9GWxDcVnQcY3YbWYKxzP9mX-c5XSZXUB6KW1SCZAnrOjFuK_1WoudgitHKhcl8FTny0peCHqdmh3hEGqfupVk_Y1jylKy2mPxuKWx9PvetNM2yOfobchenWF1FCBcem3EBdvOG1cMMVq7hD7V26nY02dg.GkhFpxc6NHvDmPvZAlePbrrqLuHsnA25WAFeyF1HGEI&dib_tag=se&keywords=laptop&qid=1763421379&sr=8-10
8,Amazon,laptop,B0CTPCTW66,"Dell Inspiron Touchscreen Laptop, 15.6"" Business & Student Laptop Computer, Windows 11 Pro Laptop 32GB RAM 1TB SSD, Intel i5-1155G7 Processor, Full HD IPS Display, Numeric Keypad, HDMI, Carbon Black",564.88,Dell,Dell inspiron,‎1 TB SSD,‎32 GB DDR4,‎1920 x 1080 pixels,‎Black,https://www.amazon.com/Dell-Inspiron-Touchscreen-i5-1155G7-Processor/dp/B0CTPCTW66/ref=sr_1_11?dib=eyJ2IjoiMSJ9.WwdElTO-Lu1E0itxo6eZz626ZVg2k4c_yDiXFZ2ZodNOnBSDIt_Z-LX6RY6XezM-e6kbLJNuT-gHwd64gD9GWxDcVnQcY3YbWYKxzP9mX-c5XSZXUB6KW1SCZAnrOjFuK_1WoudgitHKhcl8FTny0peCHqdmh3hEGqfupVk_Y1jylKy2mPxuKWx9PvetNM2yOfobchenWF1FCBcem3EBdvOG1cMMVq7hD7V26nY02dg.GkhFpxc6NHvDmPvZAlePbrrqLuHsnA25WAFeyF1HGEI&dib_tag=se&keywords=laptop&qid=1763421379&sr=8-11
9,Amazon,laptop,B0FWFWXZ2J,Lenovo V15 Business Laptop | 2025/2026 Edition | Intel Pentium 4-Core Series Processor | 15.6 FHD Screen (1920 x 1080) | 16GB RAM | 512GB PCIe SSD | WiFi-6 | Ethernet RJ-45 | Windows 11 Pro,379.99,Lenovo,Business Laptop,‎512 GB SSD,‎16 GB DDR4,‎1920 x 1080 pixels,‎Black,https://www.amazon.com/Lenovo-Business-Laptop-Processor-Ethernet/dp/B0FWFWXZ2J/ref=sr_1_14?dib=eyJ2IjoiMSJ9.WwdElTO-Lu1E0itxo6eZz626ZVg2k4c_yDiXFZ2ZodNOnBSDIt_Z-LX6RY6XezM-e6kbLJNuT-gHwd64gD9GWxDcVnQcY3YbWYKxzP9mX-c5XSZXUB6KW1SCZAnrOjFuK_1WoudgitHKhcl8FTny0peCHqdmh3hEGqfupVk_Y1jylKy2mPxuKWx9PvetNM2yOfobchenWF1FCBcem3EBdvOG1cMMVq7hD7V26nY02dg.GkhFpxc6NHvDmPvZAlePbrrqLuHsnA25WAFeyF1HGEI&dib_tag=se&keywords=laptop&qid=1763421379&sr=8-14
10,Amazon,laptop,B09SVSBVP1,"HP Chromebook 14 Laptop, Intel Celeron N4120, 4 GB RAM, 64 GB eMMC, 14"" HD Display, Chrome OS, Thin Design, 4K Graphics, Long Battery Life, Ash Gray Keyboard (14a-na0226nr, 2022, Mineral Silver)",165.0,HP,Chromebook 14a-na0226nr,‎64 GB SSD,‎4 GB DDR4,‎1366 x 768 pixels,‎Mineral Silver,https://www.amazon.com/HP-Chromebook-Graphics-Keyboard-14a-na0226nr/dp/B09SVSBVP1/ref=sr_1_13?dib=eyJ2IjoiMSJ9.WwdElTO-Lu1E0itxo6eZz626ZVg2k4c_yDiXFZ2ZodNOnBSDIt_Z-LX6RY6XezM-e6kbLJNuT-gHwd64gD9GWxDcVnQcY3YbWYKxzP9mX-c5XSZXUB6KW1SCZAnrOjFuK_1WoudgitHKhcl8FTny0peCHqdmh3hEGqfupVk_Y1jylKy2mPxuKWx9PvetNM2yOfobchenWF1FCBcem3EBdvOG1cMMVq7hD7V26nY02dg.GkhFpxc6NHvDmPvZAlePbrrqLuHsnA25WAFeyF1HGEI&dib_tag=se&keywords=laptop&qid=1763421379&sr=8-13
