id,website,category,asin,title,price,brand,series,storage,special_feature,compatible_devices,type,link
1,Amazon,monitor,‎B07CRG94G3,"Seagate Portable 2TB External Hard Drive HDD — USB 3.0 for PC, Mac, PlayStation, & Xbox -1-Year Rescue Service (STGX2000400)",69.99,Seagate,‎Basic Portable Drive,2 TB,Portable,"Desktop, Laptop",External Hard Drive,https://www.amazon.com/Seagate-Portable-External-Hard-Drive/dp/B07CRG94G3/ref=sr_1_3?dib=eyJ2IjoiMSJ9.OtIs0-TwzvdNcHT81vPKh2LQdjH66JjVyYAjqIGlIjdpIM8dyWoU8Ag1QYeR0Znod5A6olMvMOpf_nq4zQa86gRQ-95wGFfHkMJk8nm6hssEGSGaQhjn34FM0ZV9qlm4APdV_Urn7uRv27bIZCgLCS5lXp0DzX8ClbmNQQi8JVWzXEsswRJReByuSVgHuL8l0u_gSJsaIiNdOnNijUHSqXQnahzDlC-jaZz8GxdC6Is.WjBsDh1cNrqnef-lSJaKiFJ-HyQv1DMgqUr6Sp2z24M&dib_tag=se&keywords=hard+drive&qid=1756335103&sr=8-3
2,Amazon,monitor,‎B08GTYFC37,"SanDisk 1TB Extreme Portable SSD - Up to 1050MB/s, USB-C, USB 3.2 Gen 2, IP65 Water and Dust Resistance, Updated Firmware - External Solid State Drive - SDSSDE61-1T00-G25",99.99,SanDisk,‎SanDisk Extreme Portable SSD,1 TB,"Water-resistant,dust-resistant,Portable","Desktop, Laptop, Tablet",,https://www.amazon.com/SanDisk-1TB-Extreme-Portable-SDSSDE61-1T00-G25/dp/B08GTYFC37/ref=sr_1_4?dib=eyJ2IjoiMSJ9.OtIs0-TwzvdNcHT81vPKh2LQdjH66JjVyYAjqIGlIjdpIM8dyWoU8Ag1QYeR0Znod5A6olMvMOpf_nq4zQa86gRQ-95wGFfHkMJk8nm6hssEGSGaQhjn34FM0ZV9qlm4APdV_Urn7uRv27bIZCgLCS5lXp0DzX8ClbmNQQi8JVWzXEsswRJReByuSVgHuL8l0u_gSJsaIiNdOnNijUHSqXQnahzDlC-jaZz8GxdC6Is.WjBsDh1cNrqnef-lSJaKiFJ-HyQv1DMgqUr6Sp2z24M&dib_tag=se&keywords=hard+drive&qid=1756335103&sr=8-4
3,Amazon,monitor,‎B0BQX6DVWY,"Toshiba Canvio Basics 1TB Portable External Hard Drive USB 3.0, Black - HDTB510XK3AA",56.45,TOSHIBA,‎Canvio Basics,1 TB,Portable,Laptop,External Hard Drive,https://www.amazon.com/Toshiba-Canvio-Basics-Portable-External/dp/B0BQX6DVWY/ref=sr_1_5?dib=eyJ2IjoiMSJ9.OtIs0-TwzvdNcHT81vPKh2LQdjH66JjVyYAjqIGlIjdpIM8dyWoU8Ag1QYeR0Znod5A6olMvMOpf_nq4zQa86gRQ-95wGFfHkMJk8nm6hssEGSGaQhjn34FM0ZV9qlm4APdV_Urn7uRv27bIZCgLCS5lXp0DzX8ClbmNQQi8JVWzXEsswRJReByuSVgHuL8l0u_gSJsaIiNdOnNijUHSqXQnahzDlC-jaZz8GxdC6Is.WjBsDh1cNrqnef-lSJaKiFJ-HyQv1DMgqUr6Sp2z24M&dib_tag=se&keywords=hard+drive&qid=1756335103&sr=8-5
4,Amazon,monitor,‎B07BCP3PYL,"Maxone 500GB Ultra Slim Portable External Hard Drive HDD USB 3.0 Compatible with PC, Laptop, Charcoal Grey",28.99,Maxone,‎Ultra Slim,500 GB,Portable,"Desktop, Laptop",External Hard Drive,https://www.amazon.com/Portable-External-Drive-Desktop-Chromebook/dp/B07BCP3PYL/ref=sr_1_6?dib=eyJ2IjoiMSJ9.OtIs0-TwzvdNcHT81vPKh2LQdjH66JjVyYAjqIGlIjdpIM8dyWoU8Ag1QYeR0Znod5A6olMvMOpf_nq4zQa86gRQ-95wGFfHkMJk8nm6hssEGSGaQhjn34FM0ZV9qlm4APdV_Urn7uRv27bIZCgLCS5lXp0DzX8ClbmNQQi8JVWzXEsswRJReByuSVgHuL8l0u_gSJsaIiNdOnNijUHSqXQnahzDlC-jaZz8GxdC6Is.WjBsDh1cNrqnef-lSJaKiFJ-HyQv1DMgqUr6Sp2z24M&dib_tag=se&keywords=hard+drive&qid=1756335103&sr=8-6
5,Amazon,monitor,B0874XN4D8,"SAMSUNG T7 Portable SSD, 1TB External Solid State Drive, Speeds Up to 1,050MB/s, USB 3.2 Gen 2, Reliable Storage for Gaming, Students, Professionals, MU-PC1T0T/AM, Gray",79.99,SAMSUNG,,1 TB,,"Gaming Console, Mac, PC, Smartphone, Tablet",External Hard Drive,https://www.amazon.com/SAMSUNG-Portable-SSD-1TB-MU-PC1T0T/dp/B0874XN4D8/ref=sr_1_9?dib=eyJ2IjoiMSJ9.OtIs0-TwzvdNcHT81vPKh2LQdjH66JjVyYAjqIGlIjdpIM8dyWoU8Ag1QYeR0Znod5A6olMvMOpf_nq4zQa86gRQ-95wGFfHkMJk8nm6hssEGSGaQhjn34FM0ZV9qlm4APdV_Urn7uRv27bIZCgLCS5lXp0DzX8ClbmNQQi8JVWzXEsswRJReByuSVgHuL8l0u_gSJsaIiNdOnNijUHSqXQnahzDlC-jaZz8GxdC6Is.WjBsDh1cNrqnef-lSJaKiFJ-HyQv1DMgqUr6Sp2z24M&dib_tag=se&keywords=hard+drive&qid=1756335103&sr=8-9
6,Amazon,monitor,‎B07H289S7C,"Seagate BarraCuda 8 TB Internal Hard Drive HDD – 3.5 Inch SATA 6 Gb/s, 5,400 RPM, 256 MB Cache for Computer Desktop PC (ST8000DMZ04/004)",134.99,Seagate,‎ST8000DMZ04,8 TB,Data Recovery Service,"Desktop, Gaming Console",Internal Hard Drive,https://www.amazon.com/Seagate-BarraCuda-Internal-Drive-3-5-Inch/dp/B07H289S7C/ref=sr_1_8?dib=eyJ2IjoiMSJ9.OtIs0-TwzvdNcHT81vPKh2LQdjH66JjVyYAjqIGlIjdpIM8dyWoU8Ag1QYeR0Znod5A6olMvMOpf_nq4zQa86gRQ-95wGFfHkMJk8nm6hssEGSGaQhjn34FM0ZV9qlm4APdV_Urn7uRv27bIZCgLCS5lXp0DzX8ClbmNQQi8JVWzXEsswRJReByuSVgHuL8l0u_gSJsaIiNdOnNijUHSqXQnahzDlC-jaZz8GxdC6Is.WjBsDh1cNrqnef-lSJaKiFJ-HyQv1DMgqUr6Sp2z24M&dib_tag=se&keywords=hard+drive&qid=1756335103&sr=8-8
7,Amazon,monitor,‎B06W55K9N6,"WD 2TB Elements Portable External Hard Drive for Windows, USB 3.2 Gen 1/USB 3.0 for PC & Mac, Plug and Play Ready - WDBU6Y0020BBK-WESN",79.99,WD,‎Elements Desktop,2 TB,Portable,"Desktop, Laptop, Gaming Console",External Hard Drive,https://www.amazon.com/Western-Digital-Elements-Portable-External/dp/B06W55K9N6/ref=sr_1_10?dib=eyJ2IjoiMSJ9.OtIs0-TwzvdNcHT81vPKh2LQdjH66JjVyYAjqIGlIjdpIM8dyWoU8Ag1QYeR0Znod5A6olMvMOpf_nq4zQa86gRQ-95wGFfHkMJk8nm6hssEGSGaQhjn34FM0ZV9qlm4APdV_Urn7uRv27bIZCgLCS5lXp0DzX8ClbmNQQi8JVWzXEsswRJReByuSVgHuL8l0u_gSJsaIiNdOnNijUHSqXQnahzDlC-jaZz8GxdC6Is.WjBsDh1cNrqnef-lSJaKiFJ-HyQv1DMgqUr6Sp2z24M&dib_tag=se&keywords=hard+drive&qid=1756335103&sr=8-10
8,Amazon,monitor,‎B00IRV005E,"LaCie Rugged Mini 2TB External Hard Drive Portable HDD - USB 3.0/ 2.0 Compatible, Drop Shock Dust Rain Resistant Shuttle Drive, For Mac And PC Computer (LAC9000298), orange",96.91,LaCie,‎LaCie Rugged Mini,2 TB,Portable,Laptop,External Hard Drive,https://www.amazon.com/LaCie-Rugged-External-Portable-LAC9000298/dp/B00IRV005E/ref=sr_1_11?dib=eyJ2IjoiMSJ9.OtIs0-TwzvdNcHT81vPKh2LQdjH66JjVyYAjqIGlIjdpIM8dyWoU8Ag1QYeR0Znod5A6olMvMOpf_nq4zQa86gRQ-95wGFfHkMJk8nm6hssEGSGaQhjn34FM0ZV9qlm4APdV_Urn7uRv27bIZCgLCS5lXp0DzX8ClbmNQQi8JVWzXEsswRJReByuSVgHuL8l0u_gSJsaIiNdOnNijUHSqXQnahzDlC-jaZz8GxdC6Is.WjBsDh1cNrqnef-lSJaKiFJ-HyQv1DMgqUr6Sp2z24M&dib_tag=se&keywords=hard+drive&qid=1756335103&sr=8-11
9,Amazon,monitor,‎B0D267VPF5,"SanDisk Professional 6TB G-Drive ArmorATD - Rugged, Durable Portable External Hard Drive HDD, USB-C, USB 3.2 Gen 1 - SDPHE1G-006T-GBAND",219.99,SanDisk Professional,‎G-DRIVE ArmorATD,6 TB,"Dust Resistant, LED Light, Portable, Water Resistant","Desktop, Laptop",External Hard Drive,https://www.amazon.com/SanDisk-Professional-G-Drive-ArmorATD-SDPHE1G-006T-GBAND/dp/B0D267VPF5/ref=sr_1_13?dib=eyJ2IjoiMSJ9.OtIs0-TwzvdNcHT81vPKh2LQdjH66JjVyYAjqIGlIjdpIM8dyWoU8Ag1QYeR0Znod5A6olMvMOpf_nq4zQa86gRQ-95wGFfHkMJk8nm6hssEGSGaQhjn34FM0ZV9qlm4APdV_Urn7uRv27bIZCgLCS5lXp0DzX8ClbmNQQi8JVWzXEsswRJReByuSVgHuL8l0u_gSJsaIiNdOnNijUHSqXQnahzDlC-jaZz8GxdC6Is.WjBsDh1cNrqnef-lSJaKiFJ-HyQv1DMgqUr6Sp2z24M&dib_tag=se&keywords=hard+drive&qid=1756335103&sr=8-13
10,Amazon,monitor,‎B09VLHR4JC,"SAMSUNG T7 Shield 2TB, Portable SSD, up-to 1050MB/s, USB 3.2 Gen2, Rugged,IP65 Water & Dust Resistant, for Photographers, Content Creators and Gaming, Extenal Solid State Drive (MU-PE2T0S/AM), Black",149.99,SAMSUNG,‎T7 shield SSD,2 TB,"Hardware Encryption, Portable","Gaming Console, Mac, PC, Tablet, iPhone 15/16",External Hard Drive,https://www.amazon.com/SAMSUNG-Resistant-Photographers-MU-PE2T0S-AM/dp/B09VLHR4JC/ref=sr_1_14?dib=eyJ2IjoiMSJ9.OtIs0-TwzvdNcHT81vPKh2LQdjH66JjVyYAjqIGlIjdpIM8dyWoU8Ag1QYeR0Znod5A6olMvMOpf_nq4zQa86gRQ-95wGFfHkMJk8nm6hssEGSGaQhjn34FM0ZV9qlm4APdV_Urn7uRv27bIZCgLCS5lXp0DzX8ClbmNQQi8JVWzXEsswRJReByuSVgHuL8l0u_gSJsaIiNdOnNijUHSqXQnahzDlC-jaZz8GxdC6Is.WjBsDh1cNrqnef-lSJaKiFJ-HyQv1DMgqUr6Sp2z24M&dib_tag=se&keywords=hard+drive&qid=1756335103&sr=8-14
