id,website,category,asin,title,price,brand,model_name,hard_drive,ram,screen_resolution,color,link
1,Amazon,laptop,B0FR8FTK5Z,"HP 14"" Laptop, 1 Year Office 365&AI-Copilot, Intel Processor N150(up to 3.6 GHz), 4G RAM, 256GB Storage (128GB UFS + 128GB Docking Station Set), Long Battery Life, WiFi 6, Windows 11 S, Silver",279.99,HP,HP Laptop,‎128 GB Emmc,‎4 GB,‎1366 x 768 pixels,‎Natural Silver,https://www.amazon.com/HP-14-AI-Copilot-Processor-Storage/dp/B0FR8FTK5Z/ref=sr_1_3?dib=eyJ2IjoiMSJ9.bQQCQGqD1xQV9mS0rPq01nnH1NKCc5MHMjPBoKxFT1Omj3AAU0wnWFumOAB0EgbxE0CzctKQ6mVQJ3AekU61KKwtfSJ0febHzSXajm5pJni5N2Wyn_RCgbAJg1Gldzi00_qz3_wcAZEynFIwXZKXRzzRZyMfb5vebxDAX18ZJpF2Hml7ps9Tyqhz7gE8rvR0A5e6Va_k5GbzN_sS0Ebtljb344MgEK2ywnp4g1Y1QMk.dqZVYiF3m3w2oo3uKPgL17pd_MCdWddOz_g1pmFP7ps&dib_tag=se&keywords=laptop&qid=1761434202&sr=8-3
2,Amazon,laptop,B0DWMLHYJ5,"HP 15.6 inch Laptop, HD Touchscreen Display, AMD Ryzen 3 7320U, 8 GB RAM, 256 GB SSD, AMD Radeon Graphics, Windows 11 Home, Natural Silver, 15-fc0399nr",329.99,HP,HP Laptop 15-fc0399nr,‎256 GB 256 GB PCIe NVMe M.2 SSD,‎LPDDR5,‎1366 x 768 pixels,‎Natural silver,https://www.amazon.com/HP-Touchscreen-Display-Graphics-15-fc0399nr/dp/B0DWMLHYJ5/ref=sr_1_4?dib=eyJ2IjoiMSJ9.bQQCQGqD1xQV9mS0rPq01nnH1NKCc5MHMjPBoKxFT1Omj3AAU0wnWFumOAB0EgbxE0CzctKQ6mVQJ3AekU61KKwtfSJ0febHzSXajm5pJni5N2Wyn_RCgbAJg1Gldzi00_qz3_wcAZEynFIwXZKXRzzRZyMfb5vebxDAX18ZJpF2Hml7ps9Tyqhz7gE8rvR0A5e6Va_k5GbzN_sS0Ebtljb344MgEK2ywnp4g1Y1QMk.dqZVYiF3m3w2oo3uKPgL17pd_MCdWddOz_g1pmFP7ps&dib_tag=se&keywords=laptop&qid=1761434202&sr=8-4
3,Amazon,laptop,B09SVSBVP1,"HP Chromebook 14 Laptop, Intel Celeron N4120, 4 GB RAM, 64 GB eMMC, 14"" HD Display, Chrome OS, Thin Design, 4K Graphics, Long Battery Life, Ash Gray Keyboard (14a-na0226nr, 2022, Mineral Silver)",167.62,HP,Chromebook 14a-na0226nr,‎64 GB SSD,‎4 GB DDR4,‎1366 x 768 pixels,‎Mineral Silver,https://www.amazon.com/HP-Chromebook-Graphics-Keyboard-14a-na0226nr/dp/B09SVSBVP1/ref=sr_1_5?dib=eyJ2IjoiMSJ9.bQQCQGqD1xQV9mS0rPq01nnH1NKCc5MHMjPBoKxFT1Omj3AAU0wnWFumOAB0EgbxE0CzctKQ6mVQJ3AekU61KKwtfSJ0febHzSXajm5pJni5N2Wyn_RCgbAJg1Gldzi00_qz3_wcAZEynFIwXZKXRzzRZyMfb5vebxDAX18ZJpF2Hml7ps9Tyqhz7gE8rvR0A5e6Va_k5GbzN_sS0Ebtljb344MgEK2ywnp4g1Y1QMk.dqZVYiF3m3w2oo3uKPgL17pd_MCdWddOz_g1pmFP7ps&dib_tag=se&keywords=laptop&qid=1761434202&sr=8-5
4,Amazon,laptop,‎B0DZD9S5GC,"Apple 2025 MacBook Air 13-inch Laptop with M4 chip: Built for Apple Intelligence, 13.6-inch Liquid Retina Display, 16GB Unified Memory, 256GB SSD Storage, 12MP Center Stage Camera, Touch ID; Midnight",849.99,Apple,MacBook Air,,,,,https://www.amazon.com/Apple-2025-MacBook-13-inch-Laptop/dp/B0DZD9S5GC/ref=sr_1_6?dib=eyJ2IjoiMSJ9.bQQCQGqD1xQV9mS0rPq01nnH1NKCc5MHMjPBoKxFT1Omj3AAU0wnWFumOAB0EgbxE0CzctKQ6mVQJ3AekU61KKwtfSJ0febHzSXajm5pJni5N2Wyn_RCgbAJg1Gldzi00_qz3_wcAZEynFIwXZKXRzzRZyMfb5vebxDAX18ZJpF2Hml7ps9Tyqhz7gE8rvR0A5e6Va_k5GbzN_sS0Ebtljb344MgEK2ywnp4g1Y1QMk.dqZVYiF3m3w2oo3uKPgL17pd_MCdWddOz_g1pmFP7ps&dib_tag=se&keywords=laptop&qid=1761434202&sr=8-6
5,Amazon,laptop,B0DNLDKY3S,"Dell Latitude 3190 11.6"" HD 2-in-1 Touchscreen Laptop Intel N5030 1.1Ghz 4GB Ram 128GB SSD Windows 11 Professional (Renewed)",119.0,Dell,Latitude 3190,‎128 GB SSD,‎DDR4,‎1366 x 768 pixels,‎Black,https://www.amazon.com/Dell-Latitude-3190-Touchscreen-Professional/dp/B0DNLDKY3S/ref=sr_1_8?dib=eyJ2IjoiMSJ9.bQQCQGqD1xQV9mS0rPq01nnH1NKCc5MHMjPBoKxFT1Omj3AAU0wnWFumOAB0EgbxE0CzctKQ6mVQJ3AekU61KKwtfSJ0febHzSXajm5pJni5N2Wyn_RCgbAJg1Gldzi00_qz3_wcAZEynFIwXZKXRzzRZyMfb5vebxDAX18ZJpF2Hml7ps9Tyqhz7gE8rvR0A5e6Va_k5GbzN_sS0Ebtljb344MgEK2ywnp4g1Y1QMk.dqZVYiF3m3w2oo3uKPgL17pd_MCdWddOz_g1pmFP7ps&dib_tag=se&keywords=laptop&qid=1761434202&sr=8-8
6,Amazon,laptop,B0947BJ67M,"HP 14 Laptop, Intel Celeron N4020, 4 GB RAM, 64 GB Storage, 14-inch Micro-edge HD Display, Windows 11 Home, Thin & Portable, 4K Graphics, One Year of Microsoft 365 (14-dq0040nr, Snowflake White)",171.9,HP,14-dq0040nr,‎64 GB Emmc,‎4 GB DDR4,‎1366 x 768 pixels,‎Snowflake White,https://www.amazon.com/HP-Micro-edge-Microsoft-14-dq0040nr-Snowflake/dp/B0947BJ67M/ref=sr_1_9?dib=eyJ2IjoiMSJ9.bQQCQGqD1xQV9mS0rPq01nnH1NKCc5MHMjPBoKxFT1Omj3AAU0wnWFumOAB0EgbxE0CzctKQ6mVQJ3AekU61KKwtfSJ0febHzSXajm5pJni5N2Wyn_RCgbAJg1Gldzi00_qz3_wcAZEynFIwXZKXRzzRZyMfb5vebxDAX18ZJpF2Hml7ps9Tyqhz7gE8rvR0A5e6Va_k5GbzN_sS0Ebtljb344MgEK2ywnp4g1Y1QMk.dqZVYiF3m3w2oo3uKPgL17pd_MCdWddOz_g1pmFP7ps&dib_tag=se&keywords=laptop&qid=1761434202&sr=8-9
7,Amazon,laptop,B0FRMLQ9BF,"Lenovo Laptop Computer for Business and Home Student Study, 15.6"" FHD, Intel Dual-Core Processor, 16GB DDR4 RAM, 1TB PCIe SSD, WiFi 6, Bluetooth 5.2, HDMI, Type-C, Ethernet, Black, Windows 11 Pro",479.0,Lenovo,V15,‎1 TB SSD,‎16 GB SO-DIMM,‎1920 x 1080 pixels,‎Black,https://www.amazon.com/Lenovo-Computer-Dual-Core-Processor-Bluetooth/dp/B0FRMLQ9BF/ref=sr_1_10?dib=eyJ2IjoiMSJ9.bQQCQGqD1xQV9mS0rPq01nnH1NKCc5MHMjPBoKxFT1Omj3AAU0wnWFumOAB0EgbxE0CzctKQ6mVQJ3AekU61KKwtfSJ0febHzSXajm5pJni5N2Wyn_RCgbAJg1Gldzi00_qz3_wcAZEynFIwXZKXRzzRZyMfb5vebxDAX18ZJpF2Hml7ps9Tyqhz7gE8rvR0A5e6Va_k5GbzN_sS0Ebtljb344MgEK2ywnp4g1Y1QMk.dqZVYiF3m3w2oo3uKPgL17pd_MCdWddOz_g1pmFP7ps&dib_tag=se&keywords=laptop&qid=1761434202&sr=8-10
8,Amazon,laptop,B0FLKPK1ZQ,Lenovo IdeaPad 15.6 inch Laptop Computer with Microsoft 365 Home and Business • 12GB RAM • 256GB PCIe SSD • Intel Core • Wi-Fi 6 • 1TB Cloud Storage • 11HR Battery • Windows 11 • WOWPC Recovery USB,269.99,Lenovo,A325,‎1 TB SSD,‎12 GB DDR4,‎1366 x 768 pixels,‎Abyss Blue,https://www.amazon.com/Lenovo-Computer-Microsoft-Business-Recovery/dp/B0FLKPK1ZQ/ref=sr_1_11?dib=eyJ2IjoiMSJ9.bQQCQGqD1xQV9mS0rPq01nnH1NKCc5MHMjPBoKxFT1Omj3AAU0wnWFumOAB0EgbxE0CzctKQ6mVQJ3AekU61KKwtfSJ0febHzSXajm5pJni5N2Wyn_RCgbAJg1Gldzi00_qz3_wcAZEynFIwXZKXRzzRZyMfb5vebxDAX18ZJpF2Hml7ps9Tyqhz7gE8rvR0A5e6Va_k5GbzN_sS0Ebtljb344MgEK2ywnp4g1Y1QMk.dqZVYiF3m3w2oo3uKPgL17pd_MCdWddOz_g1pmFP7ps&dib_tag=se&keywords=laptop&qid=1761434202&sr=8-11
9,Amazon,laptop,B0FLKNZJ1H,"HP Student and Home Laptop with Free Microsoft 365, 16GB RAM, 64GB EMMC and 1TB Cloud Storage, Fast Intel Core, Win 11 w/o Earbuds – Perfect for Work & Play",299.99,HP,hp laptop,‎64 GB SSD,‎DDR4,‎1368 x 768 pixels,‎Neutral,https://www.amazon.com/HP-Student-Microsoft-Storage-Earbuds/dp/B0FLKNZJ1H/ref=sr_1_13?dib=eyJ2IjoiMSJ9.bQQCQGqD1xQV9mS0rPq01nnH1NKCc5MHMjPBoKxFT1Omj3AAU0wnWFumOAB0EgbxE0CzctKQ6mVQJ3AekU61KKwtfSJ0febHzSXajm5pJni5N2Wyn_RCgbAJg1Gldzi00_qz3_wcAZEynFIwXZKXRzzRZyMfb5vebxDAX18ZJpF2Hml7ps9Tyqhz7gE8rvR0A5e6Va_k5GbzN_sS0Ebtljb344MgEK2ywnp4g1Y1QMk.dqZVYiF3m3w2oo3uKPgL17pd_MCdWddOz_g1pmFP7ps&dib_tag=se&keywords=laptop&qid=1761434202&sr=8-13
10,Amazon,laptop,B0FQ1ZB6QK,"laptop 16-inch , 8GB DDR 256GB SSD portable laptop computer, expandable to 1TB, Pentium quad-core CPU up to2.64 Hz, 9000mAh battery, interface, USB3.0 interface, dual-band WiFi, webcam, slim laptops",199.99,Morostron,LeadBook T15,‎256 GB SSD,‎DDR3,‎1920 x 1080 pixels,‎Gray,https://www.amazon.com/portable-expandable-quad-core-interface-dual-band/dp/B0FQ1ZB6QK/ref=sr_1_14?dib=eyJ2IjoiMSJ9.bQQCQGqD1xQV9mS0rPq01nnH1NKCc5MHMjPBoKxFT1Omj3AAU0wnWFumOAB0EgbxE0CzctKQ6mVQJ3AekU61KKwtfSJ0febHzSXajm5pJni5N2Wyn_RCgbAJg1Gldzi00_qz3_wcAZEynFIwXZKXRzzRZyMfb5vebxDAX18ZJpF2Hml7ps9Tyqhz7gE8rvR0A5e6Va_k5GbzN_sS0Ebtljb344MgEK2ywnp4g1Y1QMk.dqZVYiF3m3w2oo3uKPgL17pd_MCdWddOz_g1pmFP7ps&dib_tag=se&keywords=laptop&qid=1761434202&sr=8-14
